duration,episode,episode_reward,step
8.178718090057373,21.0,19.0,10500
8.12231183052063,22.0,3.0,11000
7.566141128540039,23.0,3.0,11500
7.057113885879517,24.0,14.0,12000
7.073329925537109,25.0,28.0,12500
7.482156991958618,26.0,23.0,13000
7.671343088150024,27.0,23.0,13500
7.2149498462677,28.0,28.0,14000
7.467081069946289,29.0,46.0,14500
8.091288089752197,30.0,11.0,15000
7.416280746459961,31.0,50.0,15500
7.502468824386597,32.0,21.0,16000
7.121752023696899,33.0,20.0,16500
7.07419490814209,34.0,8.0,17000
6.993168830871582,35.0,38.0,17500
7.00579309463501,36.0,38.0,18000
6.997342824935913,37.0,64.0,18500
7.365494012832642,38.0,59.0,19000
7.270867109298706,39.0,161.0,19500
7.269002914428711,40.0,64.0,20000
7.46887993812561,41.0,56.0,20500
7.326303958892822,42.0,49.0,21000
7.137732028961182,43.0,119.0,21500
7.0108397006988525,44.0,38.0,22000
6.976070880889893,45.0,38.0,22500
8.001979112625122,46.0,15.0,23000
7.370605707168579,47.0,59.0,23500
8.473867893218994,48.0,15.0,24000
8.218748331069946,49.0,26.0,24500
8.956830024719238,50.0,26.0,25000
8.174862146377563,51.0,32.0,25500
7.1313722133636475,52.0,35.0,26000
7.019080877304077,53.0,106.0,26500
8.275767087936401,54.0,32.0,27000
8.253500699996948,55.0,35.0,27500
7.6824870109558105,56.0,63.0,28000
7.767271995544434,57.0,40.0,28500
7.337693929672241,58.0,94.0,29000
7.372795820236206,59.0,18.0,29500
7.294579267501831,60.0,18.0,30000
7.684368848800659,61.0,29.0,30500
7.553307056427002,62.0,18.0,31000
7.506634950637817,63.0,18.0,31500
7.438700199127197,64.0,21.0,32000
7.508924245834351,65.0,21.0,32500
7.25483512878418,66.0,21.0,33000
7.535797834396362,67.0,18.0,33500
7.393831014633179,68.0,18.0,34000
7.4228339195251465,69.0,46.0,34500
7.55460524559021,70.0,32.0,35000
7.463006019592285,71.0,52.0,35500
7.332978963851929,72.0,21.0,36000
7.389923095703125,73.0,21.0,36500
7.2847580909729,74.0,29.0,37000
7.573026180267334,75.0,32.0,37500
8.50631594657898,76.0,32.0,38000
7.251322031021118,77.0,60.0,38500
7.255075931549072,78.0,35.0,39000
7.200719118118286,79.0,71.0,39500
7.021343946456909,80.0,156.0,40000
7.387635946273804,81.0,46.0,40500
8.682244300842285,82.0,227.0,41000
7.570642948150635,83.0,152.0,41500
7.379020690917969,84.0,127.0,42000
7.5297322273254395,85.0,46.0,42500
7.627819061279297,86.0,46.0,43000
7.698203802108765,87.0,46.0,43500
9.843244791030884,88.0,178.0,44000
8.274486064910889,89.0,229.0,44500
7.670202255249023,90.0,110.0,45000
7.480423212051392,91.0,121.0,45500
7.39612889289856,92.0,174.0,46000
7.2950499057769775,93.0,29.0,46500
7.433742046356201,94.0,103.0,47000
7.177956819534302,95.0,29.0,47500
7.585340261459351,96.0,89.0,48000
7.206957817077637,97.0,20.0,48500
7.377239942550659,98.0,61.0,49000
7.4728569984436035,99.0,49.0,49500
7.504451751708984,100.0,84.0,50000
7.401465177536011,101.0,87.0,50500
7.1255669593811035,102.0,123.0,51000
7.236238718032837,103.0,137.0,51500
7.0633111000061035,104.0,53.0,52000
7.420769929885864,105.0,136.0,52500
7.32988977432251,106.0,50.0,53000
7.958543062210083,107.0,99.0,53500
7.495748996734619,108.0,159.0,54000
7.5362632274627686,109.0,92.0,54500
7.4737327098846436,110.0,165.0,55000
7.514497995376587,111.0,178.0,55500
7.5293121337890625,112.0,163.0,56000
7.440745830535889,113.0,152.0,56500
7.653069257736206,114.0,233.0,57000
7.561292886734009,115.0,74.0,57500
7.2613420486450195,116.0,340.0,58000
7.332912921905518,117.0,161.0,58500
7.957431793212891,118.0,390.0,59000
8.871257066726685,119.0,219.0,59500
7.625101089477539,120.0,160.0,60000
8.23698091506958,121.0,182.0,60500
8.392128705978394,122.0,64.0,61000
8.05158281326294,123.0,191.0,61500
8.307310819625854,124.0,253.0,62000
7.981547832489014,125.0,253.0,62500
7.846651077270508,126.0,256.0,63000
7.0921311378479,127.0,273.0,63500
7.063103914260864,128.0,247.0,64000
7.0936119556427,129.0,270.0,64500
7.09925103187561,130.0,282.0,65000
6.991397857666016,131.0,261.0,65500
7.046188116073608,132.0,92.0,66000
7.066345930099487,133.0,170.0,66500
7.008316993713379,134.0,139.0,67000
7.270799160003662,135.0,223.0,67500
7.3729939460754395,136.0,303.0,68000
7.115053176879883,137.0,192.0,68500
7.114027976989746,138.0,323.0,69000
7.210787057876587,139.0,205.0,69500
7.402358055114746,140.0,200.0,70000
7.090631008148193,141.0,185.0,70500
7.144850730895996,142.0,167.0,71000
7.094774007797241,143.0,26.0,71500
7.088996887207031,144.0,164.0,72000
7.1248650550842285,145.0,65.0,72500
7.050320863723755,146.0,76.0,73000
7.025524854660034,147.0,150.0,73500
7.093186855316162,148.0,51.0,74000
7.193130970001221,149.0,286.0,74500
7.0102598667144775,150.0,189.0,75000
7.415545225143433,151.0,98.0,75500
7.345952987670898,152.0,388.0,76000
7.309114694595337,153.0,196.0,76500
7.353615045547485,154.0,48.0,77000
7.194269895553589,155.0,219.0,77500
7.04754114151001,156.0,196.0,78000
7.054131984710693,157.0,152.0,78500
7.031994104385376,158.0,339.0,79000
7.115657806396484,159.0,425.0,79500
7.197729110717773,160.0,447.0,80000
7.286746025085449,161.0,98.0,80500
7.080003976821899,162.0,499.0,81000
7.099909782409668,163.0,508.0,81500
7.040405988693237,164.0,507.0,82000
7.022896766662598,165.0,409.0,82500
7.030251979827881,166.0,456.0,83000
7.029980897903442,167.0,424.0,83500
7.169826030731201,168.0,436.0,84000
7.3155882358551025,169.0,505.0,84500
7.110426902770996,170.0,481.0,85000
7.063078880310059,171.0,446.0,85500
7.043658018112183,172.0,467.0,86000
7.046074867248535,173.0,456.0,86500
7.0491790771484375,174.0,493.0,87000
7.12319278717041,175.0,479.0,87500
7.186907052993774,176.0,496.0,88000
7.047147989273071,177.0,481.0,88500
7.151841163635254,178.0,476.0,89000
7.059808969497681,179.0,508.0,89500
7.0584447383880615,180.0,474.0,90000
7.351532220840454,181.0,473.0,90500
7.3212890625,182.0,490.0,91000
7.081792116165161,183.0,493.0,91500
7.113431930541992,184.0,424.0,92000
7.119016885757446,185.0,416.0,92500
7.098191261291504,186.0,401.0,93000
7.285077810287476,187.0,459.0,93500
7.087515830993652,188.0,505.0,94000
7.205291986465454,189.0,424.0,94500
7.46792197227478,190.0,490.0,95000
7.309092998504639,191.0,381.0,95500
7.1192052364349365,192.0,519.0,96000
7.119642734527588,193.0,440.0,96500
7.137099742889404,194.0,496.0,97000
7.1059770584106445,195.0,469.0,97500
7.083655118942261,196.0,481.0,98000
7.1076979637146,197.0,446.0,98500
7.044320821762085,198.0,502.0,99000
7.298047304153442,199.0,469.0,99500
7.35327935218811,200.0,402.0,100000
7.113442897796631,201.0,425.0,100500
7.044152736663818,202.0,423.0,101000
7.097946882247925,203.0,491.0,101500
7.029019117355347,204.0,264.0,102000
7.033801794052124,205.0,424.0,102500
7.059514760971069,206.0,473.0,103000
7.364901065826416,207.0,453.0,103500
7.370966911315918,208.0,450.0,104000
7.358695983886719,209.0,453.0,104500
7.3664398193359375,210.0,491.0,105000
7.420180082321167,211.0,474.0,105500
7.530631065368652,212.0,162.0,106000
7.353443622589111,213.0,505.0,106500
7.377637147903442,214.0,410.0,107000
7.287111043930054,215.0,395.0,107500
7.1975321769714355,216.0,365.0,108000
7.1997151374816895,217.0,459.0,108500
7.3623857498168945,218.0,519.0,109000
7.458874940872192,219.0,476.0,109500
7.061880111694336,220.0,516.0,110000
7.2648749351501465,221.0,411.0,110500
7.116542100906372,222.0,482.0,111000
7.101931095123291,223.0,411.0,111500
7.327399015426636,224.0,282.0,112000
7.0867321491241455,225.0,434.0,112500
7.099937200546265,226.0,491.0,113000
7.103495121002197,227.0,232.0,113500
7.083307981491089,228.0,427.0,114000
7.23900580406189,229.0,451.0,114500
7.075204849243164,230.0,336.0,115000
7.073554039001465,231.0,365.0,115500
7.075226783752441,232.0,437.0,116000
7.064896821975708,233.0,385.0,116500
7.202856063842773,234.0,353.0,117000
