2022-08-23 20:27:06,155 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:29:42,019 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:32:16,303 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:34:50,239 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:37:23,824 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:39:58,836 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:42:35,677 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:45:10,981 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:47:44,532 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:50:19,197 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:52:52,206 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:55:25,784 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 20:57:59,760 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:00:35,015 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:03:11,468 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:05:44,655 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:08:17,713 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:10:51,894 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:13:25,733 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:16:01,523 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:18:38,072 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:21:13,116 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:23:47,346 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:26:20,849 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:28:55,705 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:31:29,461 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:34:05,323 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:36:39,736 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:39:15,983 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:41:49,396 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:44:23,719 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:46:59,143 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:49:35,682 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:52:11,882 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:54:46,981 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:57:20,082 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 21:59:54,429 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:02:31,835 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:05:07,029 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:07:43,752 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:10:24,865 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:12:59,662 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:15:55,014 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:18:32,194 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:21:08,054 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:23:42,234 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:26:17,090 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:28:54,143 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:31:30,948 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:34:05,354 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:36:40,764 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:39:19,961 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:41:57,740 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:44:56,459 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:47:41,718 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:50:23,334 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:53:04,426 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:55:46,646 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 22:58:27,807 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:01:04,057 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:03:40,724 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:06:20,440 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:08:58,476 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:11:38,021 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:14:16,590 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:16:51,592 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:19:27,907 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:22:02,973 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:24:44,334 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:27:21,295 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:29:57,766 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:32:36,276 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:35:35,730 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:38:16,869 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:40:57,305 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:43:38,429 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:46:18,604 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:49:01,248 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:51:44,930 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:54:23,747 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:57:04,719 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-23 23:59:45,476 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:02:28,904 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:05:04,923 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:07:41,815 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:10:18,378 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:12:55,698 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:15:32,185 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:18:09,052 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:20:46,692 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:23:22,763 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:26:00,894 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:28:38,440 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:31:15,593 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:33:51,447 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:36:27,203 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:39:03,468 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:41:39,635 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:44:16,556 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:47:17,711 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:49:56,187 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:52:31,167 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:55:07,216 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 00:57:42,971 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:00:18,470 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:02:55,418 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:05:31,174 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:08:06,621 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:10:42,941 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:13:19,053 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:15:56,209 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
2022-08-24 01:18:33,479 INFO    MainThread:55836 [wandb_watch.py:watch():47] Watching
