duration,episode,episode_reward,step
6.747995138168335,21.0,25.0,10500
6.608965635299683,22.0,0.0,11000
6.706053018569946,23.0,0.0,11500
6.809970140457153,24.0,0.0,12000
6.843515396118164,25.0,26.0,12500
6.884390115737915,26.0,20.0,13000
6.845528602600098,27.0,31.0,13500
7.256076335906982,28.0,18.0,14000
7.419848918914795,29.0,11.0,14500
7.263634920120239,30.0,17.0,15000
7.154993295669556,31.0,17.0,15500
7.1957995891571045,32.0,11.0,16000
7.2365641593933105,33.0,0.0,16500
7.488377809524536,34.0,6.0,17000
7.536947965621948,35.0,17.0,17500
7.328630208969116,36.0,23.0,18000
7.530205011367798,37.0,6.0,18500
7.845790386199951,38.0,6.0,19000
8.405971050262451,39.0,9.0,19500
7.7444071769714355,40.0,0.0,20000
7.129960775375366,41.0,15.0,20500
6.956998109817505,42.0,9.0,21000
6.9947991371154785,43.0,9.0,21500
7.676980257034302,44.0,12.0,22000
7.430691242218018,45.0,6.0,22500
6.939905405044556,46.0,17.0,23000
7.288440942764282,47.0,12.0,23500
6.993438720703125,48.0,12.0,24000
7.013931751251221,49.0,20.0,24500
7.245806932449341,50.0,12.0,25000
7.095959186553955,51.0,20.0,25500
7.517979145050049,52.0,31.0,26000
7.408963203430176,53.0,23.0,26500
6.967870712280273,54.0,20.0,27000
6.994739294052124,55.0,15.0,27500
7.375885725021362,56.0,18.0,28000
7.124581336975098,57.0,15.0,28500
6.936302185058594,58.0,25.0,29000
6.927749156951904,59.0,23.0,29500
7.08388876914978,60.0,18.0,30000
7.168805360794067,61.0,38.0,30500
7.156003475189209,62.0,29.0,31000
6.961886882781982,63.0,32.0,31500
6.982787847518921,64.0,21.0,32000
6.984493017196655,65.0,15.0,32500
6.982449054718018,66.0,21.0,33000
7.116220951080322,67.0,18.0,33500
7.077830791473389,68.0,15.0,34000
6.962419271469116,69.0,15.0,34500
6.994936943054199,70.0,18.0,35000
6.914893388748169,71.0,18.0,35500
6.974937200546265,72.0,12.0,36000
6.961623907089233,73.0,18.0,36500
7.550466775894165,74.0,18.0,37000
7.511821031570435,75.0,18.0,37500
7.5291430950164795,76.0,18.0,38000
7.445395469665527,77.0,18.0,38500
7.3140106201171875,78.0,20.0,39000
7.262701988220215,79.0,23.0,39500
7.183367490768433,80.0,23.0,40000
7.358813285827637,81.0,35.0,40500
7.31317138671875,82.0,38.0,41000
7.285999059677124,83.0,32.0,41500
7.374512672424316,84.0,26.0,42000
7.1927666664123535,85.0,49.0,42500
7.1170032024383545,86.0,32.0,43000
7.203524827957153,87.0,32.0,43500
7.212031841278076,88.0,35.0,44000
7.6025848388671875,89.0,29.0,44500
7.409708261489868,90.0,18.0,45000
7.332094192504883,91.0,18.0,45500
7.4799416065216064,92.0,18.0,46000
7.32989239692688,93.0,18.0,46500
7.567445516586304,94.0,18.0,47000
7.677370548248291,95.0,18.0,47500
7.2976438999176025,96.0,46.0,48000
8.136368036270142,97.0,23.0,48500
7.205777406692505,98.0,29.0,49000
7.28805136680603,99.0,18.0,49500
7.211410045623779,100.0,40.0,50000
7.238492488861084,101.0,43.0,50500
7.2288498878479,102.0,32.0,51000
7.349051237106323,103.0,15.0,51500
7.236751317977905,104.0,37.0,52000
7.260985612869263,105.0,21.0,52500
7.255296230316162,106.0,37.0,53000
7.209927082061768,107.0,26.0,53500
7.623507499694824,108.0,21.0,54000
7.300395488739014,109.0,21.0,54500
7.232876300811768,110.0,18.0,55000
7.367204666137695,111.0,21.0,55500
7.342530965805054,112.0,21.0,56000
7.254473686218262,113.0,21.0,56500
7.192378997802734,114.0,21.0,57000
7.237513780593872,115.0,21.0,57500
7.451185464859009,116.0,21.0,58000
7.432133197784424,117.0,21.0,58500
7.372457981109619,118.0,18.0,59000
7.2452921867370605,119.0,18.0,59500
7.202577590942383,120.0,21.0,60000
7.362978458404541,121.0,21.0,60500
7.162836074829102,122.0,21.0,61000
7.189996719360352,123.0,21.0,61500
7.197325706481934,124.0,21.0,62000
7.3966100215911865,125.0,21.0,62500
7.303513050079346,126.0,18.0,63000
7.243889570236206,127.0,21.0,63500
7.203156232833862,128.0,21.0,64000
7.262944221496582,129.0,21.0,64500
7.4341325759887695,130.0,20.0,65000
