"episode","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - _step","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - _step__MIN","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - _step__MAX","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - train_rewards","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - train_rewards__MIN","Group: Train_Rewards_simple_spread_if_load_pretrained:1 - train_rewards__MAX"
"80","159","159","159","-2739.946547120033","-6785.898771832789","-444.6127364345067"
"81","161","161","161","-2920.953695531378","-7221.223306665228","-422.0323528890772"
"82","163","163","163","-3053.8868432754093","-6418.758126207027","-859.7267447994983"
"83","165","165","165","-3379.3334385092044","-6949.613662451846","-761.896068802496"
"84","167","167","167","-2710.943532238055","-6876.63058903829","-710.4693859902287"
"85","169","169","169","-2404.311392927234","-6303.823059205699","-436.3206522215036"
"86","171","171","171","-2682.9916466672175","-5831.523516947592","-747.8541872303538"
"87","173","173","173","-3214.8284377468444","-6947.321916539511","-690.8153263242667"
"88","175","175","175","-2869.2886131455225","-6496.832531439704","-783.296390236752"
"89","177","177","177","-3963.356797988319","-7597.194167997519","-948.2620332882163"
"90","179","179","179","-3108.905276484762","-6888.296355641258","-685.639970534375"
"91","181","181","181","-3235.3945948691426","-6471.140304665501","-627.6546219577845"
"92","183","183","183","-3006.81159453511","-6688.224073623287","-541.255790237615"
"93","185","185","185","-3046.52272918074","-6649.756443435604","-612.9049855350338"
"94","187","187","187","-3134.7898072330013","-7039.242794505532","-546.6240833022536"
"95","189","189","189","-3658.219046754154","-6858.4437202738445","-645.2440611400698"
"96","191","191","191","-3308.948427070758","-7180.19504914961","-621.2218083168336"
"97","193","193","193","-3035.0078822397572","-6742.711460120523","-752.1226246745701"
"98","195","195","195","-3141.5782566157695","-6818.4701714865005","-688.0815365053742"
"99","197","197","197","-3671.97795002011","-6409.968046577664","-457.12228198603106"
"100","199","199","199","-4348.819881818655","-6903.361120416475","-1061.5664414415885"
"101","201","201","201","-4817.234950619656","-7156.002120915447","-612.8391254632515"
"102","203","203","203","-5553.174135957498","-9264.434143685867","-577.4109130742443"
"103","205","205","205","-5306.805873520085","-8614.39200415134","-887.5149930844901"
"104","207","207","207","-5311.057422973824","-9081.68955571484","-518.2204609126378"
"105","209","209","209","-5385.9984894378995","-8646.592789396771","-528.9211774194856"
"106","211","211","211","-5307.918888896509","-9087.047267251448","-786.3350811452392"
"107","213","213","213","-5091.180964580022","-8720.815264600464","-884.8355648841377"
"108","215","215","215","-4925.993086572285","-8493.630465253933","-327.1863019383713"
"109","217","217","217","-4232.49732531056","-7203.6649230627045","-629.556158451658"
"110","219","219","219","-4194.178598480603","-7509.235390009671","-1159.6428238240828"
"111","221","221","221","-3653.710809409657","-9311.278036172807","-582.6917747291118"
"112","223","223","223","-3621.2674713599054","-9579.438508664194","-508.61016842576095"
"113","225","225","225","-5478.438543837311","-8450.036376829748","-1808.3631521626817"
"114","227","227","227","-5523.617807707314","-8997.909084038381","-2748.8554237068674"
"115","229","229","229","-5042.247935186431","-7157.738779510779","-1647.6400431809957"
"116","231","231","231","-3844.521637870762","-9530.93794564332","-822.8515978660902"
"117","233","233","233","-3967.5533687835064","-7295.527722598166","-1311.5694594823333"
"118","235","235","235","-5390.810355028662","-9192.22056720067","-2944.760347272794"
"119","237","237","237","-4777.411040351736","-7289.274343224717","-2715.489382337509"
"120","239","239","239","-3949.492032059717","-6964.121608178521","-1485.9840819305687"
"121","241","241","241","-3627.477382402275","-6927.71952995393","-1126.6732635038045"
"122","243","243","243","-2752.3273521789206","-7030.7767740931895","-1359.4581656788043"
"123","245","245","245","-2682.489186681966","-6512.761478261403","-703.4431384426127"
"124","247","247","247","-3420.806058734711","-7041.020976673667","-1659.3181726663768"
"125","249","249","249","-3787.6176272128105","-6335.530711621782","-2045.4672831364585"
"126","251","251","251","-4287.67222518246","-6875.123935446243","-1188.7148955131825"
"127","253","253","253","-4489.809626908901","-6978.162231017105","-2648.5770492517527"
"128","255","255","255","-3934.656669584279","-6675.968021496027","-1534.342088449176"
"129","257","257","257","-4139.925967072643","-7083.063696426806","-2062.606162972202"
"130","259","259","259","-4886.46987643192","-6625.59617622551","-2485.15747709726"
"131","261","261","261","-5720.321133283283","-7529.660765618755","-3564.0910123395993"
"132","263","263","263","-4916.1222988890995","-7106.456782618851","-2716.759578934677"
"133","265","265","265","-4290.261516593746","-6489.352335614341","-974.2310006563582"
"134","267","267","267","-4794.77701429479","-6988.445547784998","-2425.7855400180515"
"135","269","269","269","-4823.9740779604235","-7281.926836272529","-1420.3822414112326"
"136","271","271","271","-4720.263232236555","-7181.703313237382","-1028.2018637642775"
"137","273","273","273","-4621.0752766166825","-6969.443936850944","-1098.1447934002472"
"138","275","275","275","-4190.210940899263","-7195.71440446609","-510.3717992605862"
"139","277","277","277","-5528.439399768893","-6946.331446402145","-1884.5422824005784"
"140","279","279","279","-5738.033476620965","-7972.906067408871","-1107.7878603682773"
"141","281","281","281","-4463.926562152374","-6695.018889619361","-792.4813622307091"
"142","283","283","283","-5788.260370470291","-6905.078276464392","-3487.052725092041"
"143","285","285","285","-6239.295544002544","-7203.058997485656","-4349.519287967454"
"144","287","287","287","-6049.211260524899","-6701.573131203873","-4620.027555846746"
"145","289","289","289","-4895.1172140626995","-7136.1692883239275","-817.759752269627"
"146","291","291","291","-5556.8340137919895","-6575.907993647225","-2977.6240892829483"
"147","293","293","293","-5422.119676248733","-7040.48723985809","-3576.333901145943"
"148","295","295","295","-5595.728654016927","-6986.117918637411","-3302.3712405735914"
"149","297","297","297","-5182.543751329231","-6909.533215095547","-2747.0319971214885"
"150","299","299","299","-5490.676521300188","-7108.857382583926","-3188.4923603857164"
"151","301","301","301","-5653.80836249628","-7128.679387252595","-3356.0600815297107"
"152","303","303","303","-5390.736633008144","-6970.2178754965435","-3128.9580133898503"
"153","305","305","305","-5189.722682183921","-6542.589800680915","-3145.4296793026347"
"154","307","307","307","-5418.3557452642235","-6754.692771657615","-3128.9253442862255"
"155","309","309","309","-5573.912108163449","-7164.652645880915","-3139.0552680782066"
"156","311","311","311","-4814.931589738352","-6552.02448160144","-2819.2644307598575"
"157","313","313","313","-5632.108527327206","-7514.069185071406","-2954.3318744897583"
"158","315","315","315","-5194.396216653288","-7012.671054807904","-3104.3978361422887"
"159","317","317","317","-5671.067961411784","-6903.429887016291","-2809.2548717390932"
"160","319","319","319","-5771.954299206828","-6798.802157711298","-2342.1422964812227"
"161","321","321","321","-5113.607765229138","-7016.299074465715","-2434.576543007854"
"162","323","323","323","-6005.4926576443995","-7074.213676467553","-2492.4267252022046"
"163","325","325","325","-5227.940006094439","-6868.3873709455365","-2354.1355425199777"
"164","327","327","327","-5657.904641721128","-7119.86024012411","-2397.567638079295"
"165","329","329","329","-5770.357047422977","-6716.925983038094","-2582.4604742527567"
"166","331","331","331","-5755.792392209349","-7497.443819845975","-3207.9706557946943"
"167","333","333","333","-5839.103999424702","-6835.3140312875175","-2876.748414508033"
"168","335","335","335","-5443.5253152681935","-6602.289718351505","-1973.8492615996206"
"169","337","337","337","-5205.006682202797","-6998.039039423926","-2415.5431197986677"
"170","339","339","339","-5193.912357956433","-6835.568288260538","-2267.126266735561"
"171","341","341","341","-4284.3756382947995","-5989.267877541464","-2268.0392681002654"
"172","343","343","343","-4292.474235800308","-6845.370706948017","-1912.245996886289"
"173","345","345","345","-3817.6389959477733","-6531.216260845011","-799.5928253082582"
"174","347","347","347","-4008.5352140527807","-7164.968438168163","-917.176611168042"
"175","349","349","349","-3876.4503825517468","-6524.142121456256","-1216.3769344028553"
"176","351","351","351","-3982.026354756942","-6390.440972547468","-1265.9136199766058"
"177","353","353","353","-3818.6107034314578","-6354.704989974716","-436.94309498378743"
"178","355","355","355","-4223.790387381386","-7291.053839324581","-534.0581877332511"
"179","357","357","357","-3963.268878142529","-6767.0000691766845","-1334.0138807643527"
"180","359","359","359","-3590.5106401053868","-6033.829034669296","-1745.3800418356927"
"181","361","361","361","-3353.943624654125","-4893.994355360196","-739.256552820405"
"182","363","363","363","-5592.747513020298","-7734.612123922394","-1950.52772625184"
"183","365","365","365","-5189.965165591705","-7674.8845786383945","-2168.112179072476"
"184","367","367","367","-5935.074768332231","-9453.42529651146","-2463.0507706412586"
"185","369","369","369","-5743.920116709754","-8242.886780169467","-2368.686691037829"
"186","371","371","371","-5987.795740408316","-8917.195368925868","-2278.499418565522"
"187","373","373","373","-6152.789259377972","-8660.840994074208","-2313.947796451326"
"188","375","375","375","-6286.77634296477","-8885.72703538627","-3134.5585006697693"
"189","377","377","377","-6302.40740329747","-9819.297706178091","-2607.232276150035"
"190","379","379","379","-5692.811781667844","-8912.879841231492","-2550.2116084913027"
"191","381","381","381","-5630.761307627579","-9221.05931051071","-1638.6968489302299"
"192","383","383","383","-5663.20603346985","-8790.577992484348","-2815.103568428165"
"193","385","385","385","-5437.191938137819","-7510.880530748578","-2325.712230055485"
"194","387","387","387","-5636.79116666137","-7481.566318641535","-2983.134886827687"
"195","389","389","389","-5574.130968820189","-8435.048092705165","-2531.403450480735"
"196","391","391","391","-6356.705279454366","-10399.741821873791","-2816.549892592003"
"197","393","393","393","-6583.1778866390205","-10029.906895447297","-3096.9754470902103"
"198","395","395","395","-5785.318421579084","-9659.850519164263","-2685.460922814964"
"199","397","397","397","-6240.057108642322","-9722.926891226087","-3458.2562797331884"
"200","399","399","399","-6678.842002837511","-9621.385168934252","-3367.890021360403"
"201","401","401","401","-6935.259504329949","-9257.177135094344","-2979.897225589419"
"202","403","403","403","-6437.553098201626","-8632.66667850094","-2906.625796545978"
"203","405","405","405","-6695.704858015995","-8595.875302970046","-2570.254709153579"
"204","407","407","407","-6641.0648590232395","-8536.398585657998","-2857.034152160125"
"205","409","409","409","-6735.577636842543","-8357.183502044696","-3127.801248931788"
"206","411","411","411","-6590.701309064534","-9158.64068129994","-2568.056562791598"
"207","413","413","413","-5878.068452998123","-8361.568457764826","-3485.994350079179"
"208","415","415","415","-6022.634475793346","-9458.795413323285","-2464.979423616954"
"209","417","417","417","-5783.360231042765","-9019.4387419781","-663.4313755794165"
"210","419","419","419","-5488.91650691428","-8805.865800763717","-602.4521365882587"
"211","421","421","421","-4809.35739427715","-8995.381129355146","-893.8867477046479"
"212","423","423","423","-4773.3672895183645","-8420.295644971578","-1629.3912208733525"
"213","425","425","425","-5043.198625339733","-9175.560349486623","-1329.9783822555933"
"214","427","427","427","-4885.063870165859","-8031.215820997962","-735.3821514197465"
"215","429","429","429","-5052.3049176964405","-8032.8669308984745","-1063.9450680242987"
"216","431","431","431","-4933.185826453964","-8005.457580287065","-795.7101521981999"
"217","433","433","433","-4853.811969094355","-9003.517035415287","-606.2041865990452"
"218","435","435","435","-4819.824492265791","-8029.585200705455","-863.8205060203743"
"219","437","437","437","-4970.763636829371","-7955.267327859894","-424.88574001764374"
"220","439","439","439","-4825.906804384906","-8435.608204446205","-726.1031971754155"
"221","441","441","441","-5078.857948927418","-8242.693427335536","-1501.7236975757523"
"222","443","443","443","-4939.44467719536","-7952.726401340863","-488.35315467613293"
"223","445","445","445","-4608.1099043096665","-7657.881637621279","-639.5333556679828"
"224","447","447","447","-4403.580046232728","-7409.103716300356","-481.0457227241109"
"225","449","449","449","-4592.587301093829","-8342.454289084553","-449.2419425741795"
"226","451","451","451","-5646.524316735146","-7571.6643667317485","-2035.6808878409113"
"227","453","453","453","-5718.689801052627","-8195.073560051427","-1010.530004287516"
"228","455","455","455","-7261.902253908452","-8536.643216481903","-6254.11232261873"
"229","457","457","457","-6295.948204598304","-9018.536951385873","-691.0328883110778"
"230","459","459","459","-5959.139659929295","-9497.73300376777","-570.7947607190961"
"231","461","461","461","-7179.20704499537","-8704.506532667145","-5749.526489513423"
"232","463","463","463","-5894.836750388591","-9051.77110395561","-743.5698347518706"
"233","465","465","465","-6793.92008004184","-9323.598325391067","-4943.308564786198"
"234","467","467","467","-6167.806568557963","-8206.066189529714","-1780.5871135784366"
"235","469","469","469","-6815.317432287937","-9531.936382221495","-2807.0943754198097"
"236","471","471","471","-5093.753861828665","-9232.280364555934","-637.3578869270933"
"237","473","473","473","-5949.584307190346","-9263.800825800263","-2003.628445768583"
"238","475","475","475","-5823.464214201596","-8251.714502037312","-3311.8542427241487"
"239","477","477","477","-7103.166496374046","-8734.01434882166","-5769.93868006912"
"240","479","479","479","-6021.091195605223","-8922.563449570765","-3573.22511039715"
"241","481","481","481","-6518.3458882374225","-9434.177111237488","-3703.4530007915987"
"242","483","483","483","-6854.806671986839","-9470.807937668698","-4490.410867824281"
"243","485","485","485","-6346.304527685156","-9504.149438933191","-2183.8367814547764"
"244","487","487","487","-4839.781266802985","-9473.041410786496","-750.952119948545"
"245","489","489","489","-7020.715879717277","-9515.147951046214","-1913.946530152328"
"246","491","491","491","-6968.389561133734","-10071.878813055908","-2711.200642269742"
"247","493","493","493","-5122.15719175595","-9447.02257057637","-702.2540602944213"
"248","495","495","495","-5189.572747686277","-9011.028599053032","-563.2522454188131"
"249","497","497","497","-5435.684831573781","-9744.321115531147","-643.7713756677776"
"250","499","499","499","-6190.473194160184","-9300.344901602914","-1474.4468155254137"
"251","501","501","501","-6679.904105249998","-8848.723654533142","-1506.1800349982739"
"252","503","503","503","-6279.9938443818955","-9898.929720617403","-696.9254048634107"
"253","505","505","505","-5110.564838534554","-9597.293231454405","-1334.823105363566"
"254","507","507","507","-4221.211184380398","-9432.531206048025","-719.0731279338926"
"255","509","509","509","-5322.7382882969105","-8976.248358729172","-385.743646453368"
"256","511","511","511","-5373.344825387272","-9407.537537014197","-942.0932743374973"
"257","513","513","513","-5122.541888666865","-8524.75376412725","-1207.7596991362516"
"258","515","515","515","-4006.047915215027","-8916.054944327068","-624.5093495302467"
"259","517","517","517","-5155.7375757028185","-8184.669839181574","-1271.5342529814193"
"260","519","519","519","-3894.7172047880913","-8408.714349430238","-609.0255164563639"
"261","521","521","521","-4997.540734545144","-8798.682451174947","-848.4633869640531"
"262","523","523","523","-3481.5063080272275","-8640.789494295634","-661.0492827366832"
"263","525","525","525","-4127.651175588804","-9372.880354351439","-835.3096769332172"
"264","527","527","527","-4466.8612375446455","-9507.575459233172","-874.5291238788944"
"265","529","529","529","-5158.76223819854","-9094.803014014857","-410.7305583387961"
"266","531","531","531","-4438.956260558629","-9643.287008908965","-429.2600393665615"
"267","533","533","533","-4266.043525514113","-8886.014851789787","-555.0875166128375"
"268","535","535","535","-4839.320856206437","-8095.169063443754","-694.4430208718045"
"269","537","537","537","-3544.238215169612","-7498.089358676401","-633.3668368858861"
"270","539","539","539","-4908.788337578696","-9071.03864706538","-594.8534870682585"
"271","541","541","541","-4334.951026883077","-7509.479060274404","-767.1353062043647"
"272","543","543","543","-4604.093545151413","-7959.021160619492","-509.2699960632905"
"273","545","545","545","-3293.6760648819195","-6858.48499863148","-743.8631670567531"
"274","547","547","547","-2548.9090320491373","-6603.551297763532","-709.7000935502241"
"275","549","549","549","-2924.148806335124","-7095.556339239221","-506.6229665345292"
"276","551","551","551","-4097.930201145669","-6839.25665862373","-1043.815482677485"
"277","553","553","553","-2987.625543573712","-6058.141621588082","-591.1718765936013"
"278","555","555","555","-2751.6692846128008","-6253.736908058832","-561.3884001934344"
"279","557","557","557","-3499.1454146605392","-6321.462831514613","-634.905712430947"
"280","559","559","559","-3203.236948736358","-6994.741950683509","-676.5617320327725"
"281","561","561","561","-3575.5056428426988","-7586.4000101914635","-723.8718133327013"
"282","563","563","563","-4587.223674003666","-8629.140984929214","-441.8658829254117"
"283","565","565","565","-5013.3853574260775","-8196.466583340738","-1393.479901938203"
"284","567","567","567","-3463.5153818609933","-8675.986866885416","-613.2533044528394"
"285","569","569","569","-4237.462193912672","-7860.973313409631","-581.786874951717"
"286","571","571","571","-4812.128825596849","-8747.409452515745","-510.1160942420914"
"287","573","573","573","-5010.152327653086","-8291.673145658795","-770.5868618709246"
"288","575","575","575","-4575.936296283849","-8279.229379832677","-664.6262752274368"
"289","577","577","577","-3898.052991478703","-8569.482349427928","-503.39921678951265"
"290","579","579","579","-5660.778530744769","-7909.061618672767","-748.1417355299768"
"291","581","581","581","-4399.535971778217","-7695.645050669766","-947.7747699179436"
"292","583","583","583","-4275.519681056462","-7356.940164268393","-843.0314597597088"
"293","585","585","585","-3981.173212431883","-8322.436147116443","-645.4402276471768"
"294","587","587","587","-4597.509917342333","-7626.028741873798","-780.7135450049046"
"295","589","589","589","-4753.519213048169","-7959.024002841804","-776.2592833768916"
"296","591","591","591","-4671.9041429688095","-8185.042342863042","-821.7998063412375"
"297","593","593","593","-5242.366254783751","-7584.25377219051","-937.0963669570237"
"298","595","595","595","-4426.567487640028","-8330.168129016081","-1065.4410235164462"
"299","597","597","597","-5728.000107796718","-8419.18481653445","-623.0333421940865"
"300","599","599","599","-5652.676947857167","-8445.710947215272","-799.2521841576142"
"301","601","601","601","-4485.630803373182","-7769.719025584175","-782.740510230062"
"302","603","603","603","-5410.801403830605","-7496.2702370526695","-556.5643622647938"
"303","605","605","605","-5289.956682622146","-7675.4353420800735","-670.7506348728081"
"304","607","607","607","-5848.651280729384","-7740.112938439381","-1108.7353406056222"
"305","609","609","609","-5664.954755048819","-7224.692780780734","-901.2584746267345"
"306","611","611","611","-5199.469628723678","-7121.347880960257","-660.1956372204152"
"307","613","613","613","-4720.837158193024","-7257.832823728271","-821.9541949134621"
"308","615","615","615","-4361.197086509633","-6823.586891795935","-773.8542891897549"
"309","617","617","617","-2827.647666686662","-6885.958714591314","-841.4903623736182"
"310","619","619","619","-3751.1435187543816","-6852.399774400372","-535.9915598843575"
"311","621","621","621","-3938.6463181121558","-7358.121385623153","-534.5521630340174"
"312","623","623","623","-4736.1774334644915","-7174.715138013508","-2256.5809469408655"
"313","625","625","625","-4161.612658891557","-6509.571795793708","-855.3344253376999"
"314","627","627","627","-5084.620300240663","-6494.663079982072","-3347.044098088225"
"315","629","629","629","-4290.78943476192","-7082.11429451718","-1317.2289709177196"
"316","631","631","631","-3787.7443559515937","-6698.501803893879","-415.6531158579071"
"317","633","633","633","-4727.285680417269","-7303.543380469948","-2327.6212207326917"
"318","635","635","635","-4041.332020270079","-7795.954097238223","-551.9899035047478"
"319","637","637","637","-4894.0118935853225","-6811.158160538467","-3083.9541519764616"
"320","639","639","639","-5061.735523507772","-7333.335240722436","-2704.5215283813045"
"321","641","641","641","-4221.507673766917","-7033.053204174759","-1333.7488961449808"
"322","643","643","643","-4025.239401130937","-6988.651446308609","-801.584682608824"
"323","645","645","645","-4156.564279169488","-6973.034695379389","-1390.7782115543282"
"324","647","647","647","-3873.38553055435","-7301.626362949238","-832.0789289249327"
"325","649","649","649","-3601.066280521771","-5842.909084076652","-908.5395046993194"
"326","651","651","651","-3599.391120318145","-7446.628913355796","-585.2110888480787"
"327","653","653","653","-3924.2435911957036","-6822.759027968631","-616.1342512947958"
"328","655","655","655","-4076.990192151533","-6877.772139904415","-1063.6721592077113"
"329","657","657","657","-4192.342757927162","-6830.945631225003","-1666.6939189696259"
"330","659","659","659","-4208.935502040086","-6000.769398864626","-2116.319808495801"
"331","661","661","661","-4018.3828380374935","-5446.5242517098995","-1899.6628066918968"
"332","663","663","663","-4426.971853817968","-5916.12701336954","-1731.4161399213122"
"333","665","665","665","-4615.539894961528","-6688.1368399431585","-1408.4315902731482"
"334","667","667","667","-3796.3495457811855","-6204.76130188589","-1480.853129025663"
"335","669","669","669","-3549.0884874293865","-6522.525821067698","-1285.0782313071566"
"336","671","671","671","-3335.2728843308896","-5909.845701817117","-1171.8008577978517"
"337","673","673","673","-2996.367575209172","-5580.044841333862","-1209.3991158134986"
"338","675","675","675","-2950.354700787625","-6658.305063361373","-1074.9496531340412"
"339","677","677","677","-3041.1251313605253","-8740.386739480673","-662.4260803683062"
"340","679","679","679","-3062.718457623872","-8217.005632601655","-831.2893124528803"
"341","681","681","681","-2874.5858177352916","-8024.304082833849","-1258.0776947477825"
"342","683","683","683","-2791.8771132589","-8289.533462707008","-587.7864938078584"
"343","685","685","685","-3354.668746675794","-8267.297262665308","-1569.2948442760007"
"344","687","687","687","-3299.815474772061","-8541.278736935123","-1287.234579515581"
"345","689","689","689","-2429.9298236079057","-6074.497997694867","-976.6726229927655"
"346","691","691","691","-3388.9148128555958","-7200.745831738606","-1091.4614232337701"
"347","693","693","693","-2689.102300350229","-7333.514571253875","-722.9996384922927"
"348","695","695","695","-2894.680889025242","-7773.174436000794","-925.5953104713253"
"349","697","697","697","-3309.73430778604","-7989.642896331718","-1095.3402325437316"
"350","699","699","699","-2903.561880020522","-7285.148983636979","-983.4680725488995"
"351","701","701","701","-2852.0254572220333","-7637.361673612943","-610.3005947666775"
"352","703","703","703","-2820.1309566500136","-7248.520143397285","-588.0052581346931"
"353","705","705","705","-3038.183525085441","-7427.863591452928","-898.4055096983373"
"354","707","707","707","-2761.91031584145","-6686.774724070146","-747.7650170470399"
"355","709","709","709","-3105.590920241769","-7394.029394659794","-898.2368638631135"
