"episode","happy-moon-327","happy-moon-327__MIN","happy-moon-327__MAX","dry-smoke-325","dry-smoke-325__MIN","dry-smoke-325__MAX","easy-bee-324","easy-bee-324__MIN","easy-bee-324__MAX","atomic-cloud-322","atomic-cloud-322__MIN","atomic-cloud-322__MAX","sandy-pine-320","sandy-pine-320__MIN","sandy-pine-320__MAX"
"29","-675.0266609492968","-1407.0533218985936","57","22.40577951515858","-12.188440969682835","57","-17.763924838444076","-92.52784967688815","57","-543.3214784847391","-1143.6429569694783","57","-9.11998073721903","-75.23996147443806","57"
"30","-991.7955341127009","-2042.5910682254018","59","-2.192425963111422","-63.384851926222844","59","6.1932032674788005","-46.6135934650424","59","9.862587450351114","-39.27482509929777","59","-74.07539986368812","-207.15079972737624","59"
"31","-2179.729754809023","-4420.459509618046","61","25.178083401482972","-10.643833197034054","61","16.774703392815958","-27.45059321436808","61","-147.88627731641193","-356.77255463282387","61","-63.11274753890042","-187.22549507780084","61"
"32","-2714.391284267015","-5491.78256853403","63","5.248223024532546","-52.50355395093491","63","-123.51555842008017","-310.03111684016034","63","-1002.6317339211314","-2068.263467842263","63","0.042789172780924645","-62.91442165443815","63"
"33","-4939.217665555741","-9943.435331111483","65","19.211050582391337","-26.577898835217326","65","-56.78149176691652","-178.56298353383303","65","-1036.1853676075602","-2137.3707352151205","65","-264.2792506695204","-593.5585013390408","65"
"34","-6223.047910915146","-12513.095821830291","67","12.762727360642934","-41.47454527871413","67","11.605512013765413","-43.788975972469174","67","-3191.797833281009","-6450.595666562018","67","1.185017709666461","-64.62996458066708","67"
"35","-5392.401871365343","-10853.803742730686","69","-8.740144111517004","-86.48028822303401","69","-86.35557128780678","-241.71114257561356","69","-527.9108656186521","-1124.8217312373042","69","4.802151721241145","-59.39569655751771","69"
"36","-5720.883222802876","-11512.766445605752","71","-0.32462088034051106","-71.64924176068102","71","-152.1907381516375","-375.381476303275","71","-246.82017535790993","-564.6403507158199","71","-17.013527598401232","-105.02705519680246","71"
"37","-5578.848980264245","-11230.69796052849","73","-92.10526202464055","-257.2105240492811","73","17.090431363418883","-38.819137273162234","73","-365.44273762967987","-803.8854752593597","73","-3.858462609558636","-80.71692521911727","73"
"38","-4986.759799455206","-10048.519598910412","75","-31.935860195916007","-138.871720391832","75","29.730469772363126","-15.539060455273747","75","-1336.5407915376145","-2748.081583075229","75","30.27414763017837","-14.45170473964326","75"
"39","-1110.0362033772662","-2297.0724067545325","77","-130.7130482827904","-338.4260965655808","77","-79.38510237382889","-235.77020474765777","77","-1225.527937977938","-2528.055875955876","77","-27.980121039737952","-132.9602420794759","77"
"40","-649.0022564048008","-1377.0045128096017","79","9.320261703770232","-60.35947659245954","79","27.8695271597385","-23.260945680523","79","-711.0283742619918","-1501.0567485239835","79","-81.47772561076529","-241.95545122153058","79"
"41","-1654.617117277137","-3390.234234554274","81","-105.1282958987585","-291.256591797517","81","-69.00940576800369","-219.01881153600738","81","-164.8532761457558","-410.7065522915116","81","7.9107995762403505","-65.1784008475193","81"
"42","-287.1005777544298","-657.2011555088596","83","-25.975835024179403","-134.9516700483588","83","-131.79734411976668","-346.59468823953335","83","-305.2115906548599","-693.4231813097198","83","-120.31946509632928","-323.63893019265856","83"
"43","-949.1739482165948","-1983.3478964331896","85","-160.45405171156386","-405.9081034231277","85","-46.85101796846611","-178.70203593693222","85","-204.42898618345419","-493.85797236690837","85","-26.253469965461363","-137.50693993092273","85"
"44","-1509.464363681121","-3105.928727362242","87","-18.74737741801178","-124.49475483602356","87","-11.863647328648092","-110.72729465729618","87","18.196542924867742","-50.606914150264515","87","-10.26851738274405","-107.5370347654881","87"
"45","-1532.0020686345977","-3153.0041372691953","89","-20.940301217047704","-130.8806024340954","89","-88.4987274598293","-265.9974549196586","89","-58.87221889760903","-206.74443779521806","89","2.6951988726847134","-83.60960225463057","89"
"46","-83.230499253647","-257.460998507294","91","11.178882107232695","-68.64223578553461","91","-74.03009572996234","-239.06019145992468","91","-23.29608721217744","-137.59217442435488","91","15.488298485543474","-60.02340302891305","91"
"47","-236.64499469844242","-566.2899893968848","93","40.97504226634036","-11.049915467319275","93","19.46541701238979","-54.06916597522042","93","-627.5595258926858","-1348.1190517853715","93","25.72411737548643","-41.55176524902714","93"
"48","-85.70867531534574","-266.4173506306915","95","-1.9430636971457034","-98.8861273942914","95","12.913536345383115","-69.17292730923377","95","-14.836697078202143","-124.67339415640429","95","40.401021711798045","-14.197956576403909","95"
"49","35.583182113140126","-25.833635773719756","97","-121.35389786748627","-339.70779573497254","97","-152.6482642824925","-402.296528564985","97","-127.10091803635603","-351.20183607271207","97","-100.0134729493181","-297.0269458986362","97"
"50","16.333644044916582","-66.33271191016684","99","7.132296414570725","-84.73540717085855","99","25.51216253067257","-47.97567493865486","99","43.523146370832336","-11.95370725833533","99","-93.84269178320517","-286.68538356641034","99"
"51","5.308977049117821","-90.38204590176436","101","38.11177833750412","-24.77644332499176","101","-151.26198093289406","-403.5239618657881","101","-23.492488235308173","-147.98497647061635","101","-80.48904552913118","-261.97809105826235","101"
"52","15.852235624620356","-71.29552875075929","103","-65.92220024135783","-234.84440048271566","103","44.756743986725816","-13.486512026548366","103","-363.40975358409116","-829.8195071681823","103","40.254736330575625","-22.490527338848754","103"
"53","-28.40586744448767","-161.81173488897534","105","33.49678726817358","-38.00642546365285","105","8.114452322945446","-88.77109535410911","105","-858.6375284826651","-1822.2750569653301","105","21.204374426751187","-62.591251146497626","105"
"54","21.407378839321403","-64.1852423213572","107","-37.38981191262259","-181.77962382524518","107","-31.131580623402073","-169.26316124680415","107","2.735224229269754","-101.52955154146049","107","4.1462487025154005","-98.7075025949692","107"
"55","-157.77913314668376","-424.5582662933675","109","-137.4275848194971","-383.8551696389942","109","-23.19008724780285","-155.3801744956057","109","-132.47308832955935","-373.9461766591187","109","5.207754397378693","-98.58449120524261","109"
"56","-109.73486947594614","-330.4697389518923","111","0.4283859470964799","-110.14322810580704","111","-104.44548799687709","-319.8909759937542","111","-33.698068425800216","-178.39613685160043","111","-90.21683215873944","-291.4336643174789","111"
"57","-271.3796815944352","-655.7593631888705","113","12.302906426552305","-88.39418714689539","113","-167.83369271786978","-448.66738543573956","113","8.844418188384239","-95.31116362323152","113","37.4356854476746","-38.1286291046508","113"
"58","-479.9566437575296","-1074.9132875150592","115","-72.81741988552031","-260.6348397710406","115","44.098170984201296","-26.803658031597404","115","-917.2571462152134","-1949.5142924304268","115","55.54247621145143","-3.915047577097143","115"
"59","-213.40216876733035","-543.8043375346607","117","40.86347562268633","-35.27304875462734","117","14.83254336448259","-87.33491327103482","117","-153.22268215279453","-423.44536430558907","117","8.920723805275792","-99.15855238944842","117"
"60","-105.24633917220572","-329.49267834441144","119","24.1878654401242","-70.6242691197516","119","-43.030346085290546","-205.0606921705811","119","8.057594244870785","-102.88481151025843","119","39.336396440861236","-40.32720711827753","119"
"61","-539.4709821530563","-1199.9419643061126","121","-73.457659176872","-267.915318353744","121","-195.2966715584387","-511.5933431168774","121","-118.29840908378776","-357.5968181675755","121","-139.67453574153822","-400.34907148307644","121"
"62","-93.2336634839252","-309.4673269678504","123","-71.45337924419519","-265.9067584883904","123","-744.9624497287648","-1612.9248994575296","123","-16.245465977714886","-155.49093195542977","123","21.012926044215632","-80.97414791156874","123"
"63","-10.794037432380563","-146.58807486476113","125","-14.417663675787267","-153.83532735157453","125","-358.6478841745462","-842.2957683490924","125","28.86038606759943","-67.27922786480114","125","37.23277899055353","-50.534442018892946","125"
"64","-204.09783886048132","-535.1956777209626","127","13.200770955540897","-100.5984580889182","127","24.65241323522796","-77.69517352954408","127","-120.06251305779216","-367.1250261155843","127","18.828091129266497","-89.343817741467","127"
"65","-258.32014014543535","-645.6402802908707","129","7.937147979656594","-113.12570404068681","129","-336.4145995041915","-801.829199008383","129","-134.9203842510609","-398.8407685021218","129","-55.66382127793463","-240.32764255586926","129"
"66","5.893810064219821","-119.21237987156036","131","7.9191561711424825","-115.16168765771504","131","-94.39850847202877","-319.79701694405753","131","-161.99793935116827","-454.99587870233654","131","18.327306781776883","-94.34538643644623","131"
"67","19.538201924755036","-93.92359615048993","133","-51.36194113654382","-235.72388227308764","133","-26.53741459983003","-186.07482919966006","133","-40.616417409951765","-214.23283481990353","133","-109.40572218005295","-351.8114443601059","133"
"68","-7.78005479290951","-150.56010958581902","135","24.847857698875444","-85.30428460224911","135","27.7865289723374","-79.4269420553252","135","-18.645115858274693","-172.29023171654939","135","-125.9549688438351","-386.9099376876702","135"
"69","1.4853238486414995","-134.029352302717","137","-274.317264423145","-685.63452884629","137","-40.524558431333006","-218.049116862666","137","-246.56938745920337","-630.1387749184067","137","43.75900774039046","-49.481984519219075","137"
"70","-338.66820860413975","-816.3364172082795","139","18.709445869707807","-101.58110826058439","139","-24.04379985643017","-187.08759971286034","139","-114.72844295094964","-368.4568859018993","139","56.16650300576925","-26.666993988461503","139"
"71","-224.92810887671567","-590.8562177534313","141","-232.748034436583","-606.496068873166","141","-291.04055320227445","-723.0811064045489","141","-109.90092394464159","-360.8018478892832","141","-435.7442165696974","-1012.4884331393948","141"
"72","-189.4741073381727","-521.9482146763454","143","-98.5250474730334","-340.0500949460668","143","-79.56663965168264","-302.13327930336527","143","-34.269878037088006","-211.539756074176","143","14.460484452544932","-114.07903109491014","143"
"73","68.73842519041678","-7.523149619166457","145","65.110796920869","-14.778406158261983","145","-213.39490783852426","-571.7898156770485","145","-286.2116284780313","-717.4232569560626","145","53.0733045783206","-38.8533908433588","145"
"74","-50.96124074829267","-248.92248149658533","147","12.23206011206564","-122.53587977586872","147","-341.76788816773467","-830.5357763354693","147","-49.855331800747535","-246.71066360149507","147","42.15081534418474","-62.698369311630515","147"
"75","-47.054531596060784","-243.10906319212157","149","-12.436821469003647","-173.8736429380073","149","-207.45701473942012","-563.9140294788402","149","-109.5517798734966","-368.1035597469932","149","54.018579228900414","-40.96284154219917","149"
"76","-16.86514894726929","-184.73029789453858","151","47.81427588374386","-55.37144823251227","151","-58.30802709368771","-267.6160541873754","151","19.26461350790283","-112.47077298419434","151","-14.695147372011022","-180.39029474402204","151"
"77","-33.87367382790711","-220.74734765581422","153","-145.2919027676778","-443.5838055353556","153","-53.74293085205332","-260.48586170410664","153","-16.83422411107479","-186.66844822214958","153","12.38211848837598","-128.23576302324804","153"
"78","-23.521410909820972","-202.04282181964194","155","46.827418224002955","-61.34516355199409","155","36.26565246849801","-82.46869506300398","155","6.615763145609478","-141.76847370878104","155","16.900162710609038","-121.19967457878192","155"
"79","-383.83078699625383","-924.6615739925077","157","62.53009435243087","-31.939811295138256","157","51.88098660802768","-53.23802678394464","157","45.41004301657151","-66.17991396685699","157","67.32996119130503","-22.34007761738994","157"
"80","2.5982744873448382","-153.80345102531032","159","75.41525983769155","-8.16948032461691","159","28.86540461344766","-101.26919077310468","159","-166.6549424285182","-492.3098848570364","159","6.469644998982375","-146.06071000203525","159"
"81","7.647698107015771","-145.70460378596846","161","39.48834800423541","-82.02330399152918","161","-124.79393170906206","-410.58786341812413","161","-158.93344824690476","-478.8668964938095","161","5.101195623711902","-150.7976087525762","161"
"82","-17.194617571346626","-197.38923514269325","163","53.46728524030452","-56.06542951939096","163","-128.9253692048588","-420.8507384097176","163","-150.130734158129","-463.261468316258","163","73.32150961087231","-16.356980778255362","163"
"83","14.845749109057422","-135.30850178188516","165","52.9019512694903","-59.196097461019406","165","-171.64964250235158","-508.29928500470317","165","-110.13995559950246","-385.2799111990049","165","38.33906700546019","-88.32186598907963","165"
"84","-55.978417391797535","-278.95683478359507","167","43.238264573570824","-80.52347085285835","167","-171.6416121381277","-510.2832242762554","167","-190.26171365769574","-547.5234273153915","167","72.73858902042623","-21.522821959147528","167"
"85","36.386966372849884","-96.22606725430023","169","-160.0776228080634","-489.1552456161268","169","72.7383309259335","-23.52333814813301","169","64.67066149622164","-39.65867700755673","169","-82.78456216064652","-334.56912432129303","169"
"86","54.335715803861135","-62.328568392277724","171","-244.6772194410886","-660.3544388821772","171","-54.27254683093028","-279.54509366186056","171","-194.96188787368214","-560.9237757473643","171","32.07412000388217","-106.85175999223566","171"
"87","-67.0149490137236","-307.0298980274472","173","27.07918565796963","-118.84162868406074","173","34.88413187718801","-103.23173624562398","173","-310.31613604657025","-793.6322720931405","173","22.485259648410533","-128.02948070317893","173"
"88","39.641314465523536","-95.71737106895293","175","24.86985091885783","-125.26029816228434","175","-73.74666090828697","-322.49332181657394","175","-37.73782009180343","-250.47564018360686","175","49.73705454203443","-75.52589091593114","175"
"89","63.95669749857602","-49.08660500284795","177","85.32433936945553","-6.35132126108894","177","78.1619477890416","-20.6761044219168","177","-39.05474890481587","-255.10949780963173","177","22.774155881738963","-131.45168823652207","177"
"90","-130.14683024373377","-439.29366048746755","179","-0.2463035882382627","-179.49260717647653","179","58.88242278424987","-61.23515443150026","179","-185.60662929221252","-550.213258584425","179","9.944403947980703","-159.1111921040386","179"
"91","57.392746329028974","-66.21450734194205","181","61.83092615643423","-57.33814768713154","181","-53.81175926842238","-288.62351853684476","181","-98.16172711200952","-377.32345422401903","181","79.1566724412134","-22.686655117573206","181"
"92","60.21095281385411","-62.57809437229179","183","45.32983157642438","-92.34033684715124","183","-18.740331151817713","-220.48066230363543","183","-279.9483428626514","-742.8966857253027","183","-28.438566596484577","-239.87713319296915","183"
"93","-73.00282004767033","-331.00564009534065","185","-56.63743304686483","-298.27486609372966","185","76.17709442067611","-32.645811158647774","185","-70.32321992979348","-325.64643985958696","185","84.81621703151755","-15.367565936964885","185"
"94","24.018521383100534","-138.96295723379893","187","84.70038537090107","-17.599229258197862","187","48.40769577175056","-90.18460845649888","187","-92.6929892278917","-372.3859784557834","187","-4.337664262687113","-195.67532852537423","187"
"95","-1.0944048910127577","-191.18880978202552","189","-60.85803625726402","-310.71607251452804","189","73.55346815810421","-41.89306368379159","189","-39.986486447717795","-268.9729728954356","189","-10.37991875620503","-209.75983751241006","189"
"96","51.2421785238903","-88.5156429522194","191","-17.786868862712197","-226.5737377254244","191","-12.99825183063264","-216.99650366126528","191","-107.08681287739466","-405.1736257547893","191","-14.50627382151896","-220.01254764303792","191"
"97","-52.79782575634786","-298.5956515126957","193","7.263839535479775","-178.47232092904045","193","44.871414906085","-103.25717018783","193","-150.25733244495143","-493.51466488990286","193","39.9434602303169","-113.1130795393662","193"
"98","-9.630616442771839","-214.26123288554368","195","65.60939285966299","-63.78121428067403","195","49.73534399244471","-95.52931201511058","195","67.53544323163169","-59.92911353673662","195","66.98447014746628","-61.03105970506745","195"
"99","-40.655097259361526","-278.31019451872305","197","-49.55453261688615","-296.1090652337723","197","20.110727281468826","-156.77854543706235","197","-1.4987039092327308","-199.99740781846546","197","0.7502036975667608","-195.49959260486648","197"
"100","5.963692971930371","-187.07261405613926","199","46.84934861890333","-105.30130276219334","199","97.91159225875339","-3.176815482493234","199","66.56050034015931","-65.8789993196814","199","-36.34270129214963","-271.68540258429925","199"
"101","16.07168153195778","-168.85663693608444","201","68.11793635768373","-64.76412728463254","201","29.617233682646642","-141.76553263470672","201","-168.0266006820068","-537.0532013640136","201","68.76314101891637","-63.47371796216726","201"
"102","-26.864785704178132","-256.72957140835626","203","33.819129576928574","-135.36174084614285","203","77.00474268579143","-48.99051462841714","203","-52.441000994914475","-307.88200198982895","203","-27.907416331247845","-258.8148326624957","203"
"103","75.87915519383617","-53.24168961232766","205","22.634530852515","-159.73093829497","205","68.90544793999109","-67.18910412001782","205","-335.4225179966832","-875.8450359933664","205","49.36266979416293","-106.27466041167413","205"
"104","93.43399188131991","-20.13201623736018","207","60.29531056095597","-86.40937887808806","207","92.97739791224579","-21.045204175508413","207","-884.1190589452808","-1975.2381178905616","207","96.47228996044429","-14.055420079111416","207"
"105","22.103917403157197","-164.7921651936856","209","-70.37896299824968","-349.75792599649935","209","83.78422829761422","-41.43154340477157","209","-540.1330760237935","-1289.266152047587","209","-46.045783879433685","-301.09156775886737","209"
"106","-58.26093075222988","-327.52186150445976","211","14.362829546444587","-182.27434090711083","211","13.9959432983932","-183.0081134032136","211","-803.3312546440543","-1817.6625092881086","211","41.94562221752069","-127.10875556495861","211"
"107","-175.3728217005836","-563.7456434011672","213","102.33890139101752","-8.322197217964968","213","68.17858089846116","-76.64283820307767","213","-248.26766116290145","-709.5353223258029","213","66.41862327308749","-80.162753453825","213"
"108","39.166063888906805","-136.6678722221864","215","54.486986223801544","-106.02602755239691","215","101.84539690796953","-11.309206184060946","215","-95.54718617489112","-406.09437234978225","215","32.00051165094017","-150.99897669811966","215"
"109","-197.20883270136983","-611.4176654027397","217","100.07122785855424","-16.857544282891524","217","73.2987191038795","-70.40256179224097","217","-238.50767907621145","-694.0153581524229","217","89.57209005270545","-37.85581989458911","217"
"110","92.53734855090848","-33.92530289818304","219","-104.12483410050305","-427.2496682010061","219","62.94564873901615","-93.1087025219677","219","54.38869610913722","-110.22260778172556","219","49.765269867602846","-119.46946026479431","219"
"111","26.13796198344461","-168.72407603311078","221","71.39775449487459","-78.20449101025082","221","47.47208286881007","-126.05583426237986","221","54.49653736524669","-112.00692526950662","221","51.9827883366526","-117.0344233266948","221"
"112","91.08466298699742","-40.830674026005184","223","100.95933314887796","-21.081333702244088","223","97.84453027437888","-27.310939451242238","223","-3.763807260227324","-230.52761452045465","223","24.841961118049497","-173.316077763901","223"
"113","88.09334293712597","-48.81331412574807","225","-241.2964475537043","-707.5928951074086","225","73.67903772427607","-77.64192455144786","225","-272.0164469566833","-769.0328939133666","225","4.521257101323357","-215.95748579735329","225"
"114","-271.4724239587938","-769.9448479175876","227","-31.165496885938524","-289.33099377187705","227","98.00799543100297","-30.984009137994054","227","103.3027889903635","-20.394422019273005","227","-36.280863931209296","-299.5617278624186","227"
"115","-2.503225153521953","-234.0064503070439","229","85.82435570224456","-57.35128859551088","229","-34.59468272735208","-298.18936545470416","229","-405.77739656888616","-1040.5547931377723","229","55.12860016711946","-118.74279966576108","229"
"116","-140.05430662530864","-511.1086132506173","231","92.88356475547084","-45.232870489058314","231","109.1213235728013","-12.757352854397405","231","-127.56161163309346","-486.1232232661869","231","-35.58737369146084","-302.1747473829217","231"
"117","-53.79773926985382","-340.59547853970764","233","-101.02785026378993","-435.05570052757986","233","37.7453295727414","-157.5093408545172","233","-101.05538044250878","-435.11076088501756","233","81.94190180999686","-69.11619638000626","233"
"118","-56.80779420331049","-348.615588406621","235","96.11415511233841","-42.77168977532318","235","-74.5186844853315","-384.037368970663","235","-202.66615007640644","-640.3323001528129","235","40.277591590514334","-154.44481681897133","235"
"119","-0.06951410697446647","-237.13902821394893","237","17.288909426254108","-202.42218114749178","237","102.78393297577782","-31.43213404844437","237","11.41451614059416","-214.17096771881168","237","-8.575459802157553","-254.1509196043151","237"
"120","73.53003364320506","-91.93993271358988","239","27.692496408841933","-183.61500718231613","239","100.00916771914801","-38.98166456170398","239","-152.58863661007422","-544.1772732201484","239","87.15643727365192","-64.68712545269616","239"
"121","69.16094241308214","-102.67811517383572","241","-89.448820432675","-419.89764086535","241","113.29604274592153","-14.40791450815695","241","97.13551315483177","-46.72897369033645","241","32.88900046668249","-175.22199906663502","241"
"122","-125.30369845510006","-493.6073969102001","243","57.27546032257925","-128.4490793548415","243","20.01234062411362","-202.97531875177276","243","42.91935758202402","-157.16128483595196","243","26.119473390018086","-190.76105321996383","243"
"123","-151.40814574275475","-547.8162914855095","245","70.90250916337503","-103.19498167324994","245","42.25643203282988","-160.48713593434024","245","34.98078125285471","-175.03843749429058","245","13.15123832883988","-218.69752334232024","245"
"124","68.33152652820124","-110.33694694359754","247","-94.82312932792362","-436.64625865584725","247","47.66347994946321","-151.67304010107358","247","56.285411873631304","-134.4291762527374","247","18.08649154113111","-210.82701691773778","247"
"125","-50.337425703689206","-349.6748514073784","249","116.75326078805656","-15.49347842388686","249","115.35156082338897","-18.296878353222073","249","-4.9138281000783195","-258.82765620015664","249","80.16494364946168","-88.67011270107665","249"
"126","-117.23360363467495","-485.4672072693499","251","20.315640312194873","-210.36871937561025","251","120.03323501016938","-10.933529979661245","251","-180.64432022741278","-612.2886404548256","251","112.70220117915878","-25.595597641682442","251"
"127","-110.08059595523144","-473.1611919104629","253","102.53988610150572","-47.920227796988556","253","88.47836042004786","-76.04327915990426","253","-106.52329497462898","-466.04658994925796","253","39.55499398642799","-173.89001202714402","253"
"128","44.15126700477991","-166.69746599044018","255","75.13394816119443","-104.73210367761115","255","-52.44341323338742","-359.88682646677483","255","77.91301907404409","-99.17396185191184","255","76.18937640057628","-102.62124719884744","255"
"129","0.9001840974638498","-255.1996318050723","257","-34.29708835669621","-325.5941767133924","257","125.06525905249327","-6.869481895013458","257","-141.15067593619693","-539.3013518723939","257","63.26227172404286","-130.47545655191428","257"
"130","127.07823996915657","-4.8435200616868626","259","67.07274146689352","-124.85451706621298","259","110.62768285324334","-37.744634293513315","259","-218.68953998630752","-696.379079972615","259","111.76830385322015","-35.46339229355972","259"
"131","-175.09313637764052","-611.186272755281","261","89.86452912385221","-81.27094175229558","261","-14.961247688649848","-290.9224953772997","261","83.98918246428119","-93.02163507143763","261","119.27252317901105","-22.45495364197791","261"
