"episode","comic-bush-346","comic-bush-346__MIN","comic-bush-346__MAX","spring-darkness-345","spring-darkness-345__MIN","spring-darkness-345__MAX","fragrant-shadow-344","fragrant-shadow-344__MIN","fragrant-shadow-344__MAX","comfy-forest-343","comfy-forest-343__MIN","comfy-forest-343__MAX","vocal-blaze-342","vocal-blaze-342__MIN","vocal-blaze-342__MAX"
"29","-40077.64652058661","-80212.29304117322","57","-48774.56426538252","-97606.12853076504","57","-33352.35252536562","-66761.70505073124","57","-58527.33026948811","-117111.66053897623","57","-32260.517198021444","-64578.03439604289","57"
"30","-45985.3327903272","-92029.6655806544","59","-42584.33082763197","-85227.66165526395","59","-33292.2977281162","-66643.5954562324","59","-33866.564135894594","-67792.12827178919","59","-33509.01467637068","-67077.02935274136","59"
"31","-52922.597802164455","-105906.19560432891","61","-33871.83674440843","-67804.67348881686","61","-35585.26908712905","-71231.5381742581","61","-38529.935670517465","-77120.87134103493","61","-36730.33666229847","-73521.67332459694","61"
"32","-53466.0764539844","-106995.1529079688","63","-48828.073433071375","-97719.14686614275","63","-33492.770012481655","-67048.54002496331","63","-42611.61173464052","-85286.22346928105","63","-41983.10789523354","-84029.21579046707","63"
"33","-49326.02343833609","-98717.04687667218","65","-19718.635594736315","-39502.27118947263","65","-21313.19517603066","-42691.39035206132","65","-41446.69502975228","-82958.39005950456","65","-48975.46516978121","-98015.93033956242","65"
"34","-48821.02906564317","-97709.05813128634","67","-7071.074107371048","-14209.148214742096","67","-323.51262693310946","-714.0252538662189","67","-43627.911395556155","-87322.82279111231","67","-39316.7598600762","-78700.5197201524","67"
"35","-53910.06892205267","-107889.13784410534","69","-20315.743455576478","-40700.486911152955","69","-1132.1024396869768","-2333.2048793739536","69","-40872.98801175314","-81814.97602350629","69","-45115.88669463318","-90300.77338926635","69"
"36","-44039.96584782626","-88150.93169565251","71","-44230.96789756893","-88532.93579513786","71","-690.665053312356","-1452.330106624712","71","-64089.8784889009","-128250.7569778018","71","-11750.844243919722","-23572.688487839445","71"
"37","-59826.393248996","-119725.786497992","73","-54665.5719901488","-109404.1439802976","73","-608.3486876927003","-1289.6973753854006","73","-45172.717501316016","-90418.43500263203","73","-42423.74652732248","-84920.49305464496","73"
"38","-56671.921267676946","-113418.84253535389","75","-64055.670989327926","-128186.34197865585","75","-15571.138022419607","-31217.276044839215","75","-39347.66494696895","-78770.3298939379","75","-24393.843275891777","-48862.686551783554","75"
"39","-41032.995903308336","-82142.99180661667","77","-57626.50090069297","-115330.00180138594","77","-44029.41935213553","-88135.83870427105","77","-37575.7097125148","-75228.4194250296","77","-38162.8757787096","-76402.7515574192","77"
"40","-42225.78067110795","-84530.5613422159","79","-58944.740207964394","-117968.48041592879","79","-40692.88772802583","-81464.77545605166","79","-31648.930502366085","-63376.86100473217","79","-26648.56989195136","-53376.13978390272","79"
"41","-53376.906461596234","-106834.81292319247","81","-57753.85758516942","-115588.71517033884","81","-2808.2390705498583","-5697.478141099717","81","-35396.72248698244","-70874.44497396488","81","-41645.13871624211","-83371.27743248422","81"
"42","-40747.441124693316","-81577.88224938663","83","-44847.145301119475","-89777.29060223895","83","-4583.230232581994","-9249.460465163987","83","-40118.39744143713","-80319.79488287427","83","-18671.248687478048","-37425.497374956096","83"
"43","-36481.36436696641","-73047.72873393282","85","-36211.42009051829","-72507.84018103658","85","-2699.2279109435904","-5483.455821887181","85","-39503.20281058946","-79091.40562117891","85","-136.97244664282272","-358.94489328564543","85"
"44","-34958.71548376132","-70004.43096752264","87","-34922.38634661972","-69931.77269323944","87","-6197.578018919049","-12482.156037838098","87","-41163.097551850966","-82413.19510370193","87","-22222.14405368835","-44531.2881073767","87"
"45","-40442.40669682669","-80973.81339365338","89","-43367.11296529094","-86823.22593058187","89","-19053.005453290643","-38195.01090658129","89","-42609.09607110544","-85307.19214221089","89","-21978.42521168707","-44045.85042337414","89"
"46","-31222.320535386734","-62535.64107077347","91","-37094.03250322933","-74279.06500645867","91","-12558.704549540409","-25208.409099080818","91","-38998.20147736664","-78087.40295473328","91","-40343.24287549364","-80777.48575098728","91"
"47","-34217.87862426385","-68528.7572485277","93","-40844.99213926235","-81782.9842785247","93","-32586.55161327897","-65266.10322655794","93","-39494.89634174347","-79082.79268348694","93","-114.76379002379468","-322.52758004758937","93"
"48","-44703.54166957588","-89502.08333915177","95","-38415.74493613244","-76926.48987226488","95","-44225.98853681475","-88546.9770736295","95","-41864.2187111583","-83823.4374223166","95","-8402.522118748024","-16900.044237496048","95"
"49","-37898.881542252035","-75894.76308450407","97","-50413.77464285247","-100924.54928570494","97","-39945.43793411307","-79987.87586822614","97","-33952.2413592954","-68001.4827185908","97","-31308.309481816592","-62713.618963633184","97"
"50","-40115.976597295994","-80330.95319459199","99","-44547.702436625936","-89194.40487325187","99","-30674.57248927696","-61448.14497855392","99","-39646.21276590477","-79391.42553180954","99","-302.4108043991822","-703.8216087983644","99"
"51","-41021.71015246969","-82144.42030493938","101","-47156.05371612024","-94413.10743224047","101","-34376.90691708271","-68854.81383416543","101","-41541.21784859759","-83183.43569719518","101","-5785.328219294997","-11671.656438589995","101"
"52","-36481.59322222493","-73066.18644444986","103","-45754.04721067816","-91611.09442135632","103","-31957.148133357518","-64017.296266715035","103","-42438.03620143935","-84979.0724028787","103","-131.3417982107414","-365.6835964214828","103"
"53","-39145.05358779277","-78395.10717558554","105","-51961.47470017185","-104027.9494003437","105","-40307.473011270755","-80719.94602254151","105","-42682.8434828171","-85470.6869656342","105","-117.65167023543108","-340.30334047086217","105"
"54","-42631.42267945232","-85369.84535890464","107","-45380.495566507","-90867.991133014","107","-42245.69635314973","-84598.39270629946","107","-37327.174952884394","-74761.34990576879","107","-4920.722455852137","-9948.444911704273","107"
"55","-31741.619300690192","-63592.238601380384","109","-47428.35703409355","-94965.7140681871","109","-33628.12563959733","-67365.25127919466","109","-37082.60845232037","-74274.21690464074","109","-846.6372667432261","-1802.2745334864521","109"
"56","-83609.62782061192","-167330.25564122383","111","-48130.164405719384","-96371.32881143877","111","-40096.47653741223","-80303.95307482446","111","-2430.9865545235225","-4972.973109047045","111","-2562.2268280240046","-5235.453656048009","111"
"57","-77813.73988036206","-155740.47976072412","113","-46527.73633092813","-93168.47266185626","113","-44174.707557933885","-88462.41511586777","113","-531.5869259164214","-1176.1738518328427","113","-936.5898764649932","-1986.1797529299863","113"
"58","-72417.97265638635","-144950.9453127727","115","-35882.177298932926","-71879.35459786585","115","-35739.64023833149","-71594.28047666299","115","-17935.066446204404","-35985.13289240881","115","-202.9981885206879","-520.9963770413758","115"
"59","-71562.35058963529","-143241.70117927057","117","-45723.10345023048","-91563.20690046097","117","-47406.76027285144","-94930.52054570288","117","-43760.186433331255","-87637.37286666251","117","-1557.2067581572765","-3231.413516314553","117"
"60","-72940.64654700541","-146000.29309401082","119","-27091.96125579152","-54302.92251158304","119","-33825.99392049187","-67770.98784098374","119","-16440.73019187063","-33000.46038374126","119","-321.4438979274187","-761.8877958548373","119"
"61","-69553.98966848645","-139228.9793369729","121","-23944.846277674806","-48010.69255534961","121","-36878.36509036534","-73877.73018073068","121","-8027.782960140224","-16176.565920280447","121","-387.19724093754684","-895.3944818750937","121"
"62","-79370.23080854269","-158863.46161708538","123","-36703.345324373804","-73529.69064874761","123","-38720.75840641964","-77564.51681283928","123","-1481.2617880860075","-3085.523576172015","123","-473.4297963846012","-1069.8595927692024","123"
"63","-66593.51474248467","-133312.02948496933","125","-36857.07838877921","-73839.15677755843","125","-24355.009984829594","-48835.01996965919","125","-2190.48446560609","-4505.96893121218","125","-441.87424372036895","-1008.7484874407379","125"
"64","-81116.18106183542","-162359.36212367084","127","-47127.82123355005","-94382.6424671001","127","-8640.58354916265","-17408.1670983253","127","-2733.090989829655","-5593.18197965931","127","-429.0611726146142","-985.1223452292284","127"
"65","-59752.33277901885","-119633.6655580377","129","-20470.26269166687","-41069.52538333374","129","-10314.529941912902","-20758.059883825805","129","-399.12116792941816","-927.2423358588363","129","-390.42120665780186","-909.8424133156037","129"
"66","-75950.02756006588","-152031.05512013176","131","-23599.915270841626","-47330.83054168325","131","-5572.034652668442","-11275.069305336883","131","-147.28935671635105","-425.5787134327021","131","-1097.8248851577575","-2326.649770315515","131"
"67","-87931.40980391338","-175995.81960782676","133","-20488.897773375647","-41110.795546751295","133","-42432.2442569808","-84997.4885139616","133","-330.92634648681667","-794.8526929736333","133","-213.5159820874752","-560.0319641749504","133"
"68","-85923.91683988905","-171982.8336797781","135","-23929.622690657656","-47994.24538131531","135","-31572.941540979624","-63280.88308195925","135","-167.73729972348744","-470.4745994469749","135","-607.6273674999916","-1350.2547349999832","135"
"69","-66103.08902916608","-132343.17805833215","137","-37385.051936274525","-74907.10387254905","137","-34495.91325291996","-69128.82650583993","137","-232.4447554044899","-601.8895108089798","137","-419.8745955747061","-976.7491911494122","137"
"70","-74314.76870001902","-148768.53740003804","139","-960.0956094913988","-2059.1912189827976","139","-44108.825928721475","-88356.65185744295","139","-669.1928879716063","-1477.3857759432126","139","-651.5422455650514","-1442.0844911301028","139"
"71","-77585.8941166755","-155312.788233351","141","-202.2688860708759","-545.5377721417518","141","-36053.69802862648","-72248.39605725296","141","-246.3775077154002","-633.7550154308004","141","-916.964233591188","-1974.928467182376","141"
"72","-73413.89844483156","-146970.79688966312","143","-355.3500038686936","-853.7000077373872","143","-44972.481461124946","-90087.96292224989","143","-155.5580965096396","-454.1161930192792","143","-621.1159395516352","-1385.2318791032703","143"
"73","-78358.54922855028","-156862.09845710057","145","-327.46177255206067","-799.9235451041213","145","-48446.97985499477","-97038.95970998955","145","-498.0382002394299","-1141.0764004788598","145","-184.70203526834513","-514.4040705366903","145"
"74","-79488.7479009483","-159124.4958018966","147","-10.082740205058514","-167.16548041011703","147","-40299.780990217776","-80746.56198043555","147","-566.957666315621","-1280.915332631242","147","15.542226016307275","-115.91554796738545","147"
"75","-79632.94053727771","-159414.88107455542","149","-95.98537597428799","-340.970751948576","149","-40610.191711826665","-81369.38342365333","149","-67.26614583057406","-283.5322916611481","149","-90.59101391312242","-330.18202782624485","149"
"76","-82978.14121423692","-166107.28242847385","151","-447.13817960609583","-1045.2763592121917","151","-40219.106695639675","-80589.21339127935","151","-602.5337672381352","-1356.0675344762703","151","30.6030826498857","-89.7938347002286","151"
"77","-80588.79305339733","-161330.58610679465","153","-1263.8559349001323","-2680.7118698002646","153","-41449.70181856382","-83052.40363712765","153","59.4537184972103","-34.092563005579386","153","-264.3094034755025","-681.618806951005","153"
"78","-81173.76468533791","-162502.52937067582","155","-8059.545183927687","-16274.090367855373","155","-46316.12212308458","-92787.24424616915","155","-117.8249027222713","-390.6498054445426","155","-145.32871252776272","-445.65742505552544","155"
"79","-64547.41728642463","-129251.83457284926","157","-24718.396230307797","-49593.792460615594","157","-41861.811886587995","-83880.62377317599","157","-385.6432759332162","-928.2865518664324","157","-37205.4076707273","-74567.8153414546","157"
"80","-88366.32779837839","-176891.65559675678","159","-33050.89113635046","-66260.78227270092","159","-44584.079881615035","-89327.15976323007","159","-206.21309077942522","-571.4261815588504","159","-20131.371669854074","-40421.74333970815","159"
"81","-78845.274630443","-157851.549260886","161","-42778.84806955962","-85718.69613911925","161","-35207.500208766556","-70576.00041753311","161","-353.1900844244251","-867.3801688488502","161","-27007.6502009366","-54176.3004018732","161"
"82","-45626.2203136355","-91415.440627271","163","-33349.934292182355","-66862.86858436471","163","-40219.85323512525","-80602.7064702505","163","-347.2204898834194","-857.4409797668388","163","-594.133096698962","-1351.266193397924","163"
"83","-49434.25140809984","-99033.50281619967","165","-33782.80370548703","-67730.60741097406","165","-30737.314481936188","-61639.628963872376","165","-254.8595431275612","-674.7190862551224","165","-361.5331777919344","-888.0663555838688","165"
"84","-41556.41713162881","-83279.83426325762","167","-31820.384586458706","-63807.76917291741","167","-42973.91964051725","-86114.8392810345","167","-379.1597069723263","-925.3194139446526","167","-531.5348881503178","-1230.0697763006356","167"
"85","-39868.66407102833","-79906.32814205666","169","-32303.036501302453","-64775.073002604906","169","-34890.09994560748","-69949.19989121496","169","-1141.6508572610173","-2452.3017145220347","169","-1798.131777676737","-3765.263555353474","169"
"86","-45180.06266948391","-90531.12533896782","171","-18421.008772825175","-37013.01754565035","171","-37914.16965749712","-75999.33931499424","171","-136.82101917740036","-444.6420383548007","171","-1754.844940833989","-3680.689881667978","171"
"87","-39590.2283951224","-79353.4567902448","173","-11776.08147464131","-23725.16294928262","173","-21932.5802711689","-44038.1605423378","173","-474.3538110038688","-1121.7076220077377","173","-16566.730647139102","-33306.461294278204","173"
"88","-40395.578423773775","-80966.15684754755","175","-7385.577057498545","-14946.15411499709","175","-19019.502169445197","-38214.004338890394","175","-648.7736817945254","-1472.5473635890507","175","-8566.706901549975","-17308.41380309995","175"
"89","-43183.91862892247","-86544.83725784493","177","-3053.4141683313774","-6283.828336662755","177","-31013.34420785828","-62203.68841571656","177","-611.3166174921973","-1399.6332349843947","177","-15463.160494425067","-31103.320988850133","177"
"90","-32929.543030177134","-66038.08606035427","179","-5638.8494523065465","-11456.698904613093","179","-16702.8075576975","-33584.615115395","179","-695.0209711690774","-1569.0419423381547","179","-8684.556549324165","-17548.11309864833","179"
"91","-41777.4583910479","-83735.9167820958","181","-2154.059471718389","-4489.118943436778","181","-2199.9309746664658","-4580.8619493329315","181","-275.73742027571444","-732.4748405514289","181","-735.6829903924923","-1652.3659807849847","181"
"92","-37134.248403041354","-74451.49680608271","183","-4265.902534664522","-8714.805069329044","183","-20212.790110463542","-40608.580220927084","183","-50241.635469786066","-100666.27093957213","183","-316.8791635756952","-816.7583271513904","183"
"93","-41971.1245468601","-84127.2490937202","185","-1759.3114241480773","-3703.6228482961546","185","-24689.139919646128","-49563.279839292256","185","-435.7649445498423","-1056.5298890996846","185","-353.76850904365403","-892.5370180873081","185"
"94","-44257.04499941713","-88701.08999883426","187","-2461.9236593647033","-5110.847318729407","187","53.273177741819275","-80.45364451636145","187","-1179.5606733103248","-2546.1213466206495","187","53.21568673722201","-80.56862652555598","187"
