"episode","comic-bush-346","comic-bush-346__MIN","comic-bush-346__MAX","spring-darkness-345","spring-darkness-345__MIN","spring-darkness-345__MAX","fragrant-shadow-344","fragrant-shadow-344__MIN","fragrant-shadow-344__MAX","comfy-forest-343","comfy-forest-343__MIN","comfy-forest-343__MAX","vocal-blaze-342","vocal-blaze-342__MIN","vocal-blaze-342__MAX"
"121","-40383.97655032581","-81008.95310065162","241","40.01471192132689","-160.97057615734622","241","-75.7140046115137","-392.4280092230274","241","-58913.04986391963","-118067.09972783926","241","-609.0377003405868","-1459.0754006811735","241"
"122","-40105.45712569234","-80453.91425138467","243","-19.853546473647583","-282.70709294729517","243","-217.28650651869185","-677.5730130373837","243","-36798.107138651394","-73839.21427730279","243","-162.7220348443422","-568.4440696886844","243"
"123","-32070.921037272357","-64386.842074544715","245","64.60111807118085","-115.7977638576383","245","-88.21901554875922","-421.43803109751843","245","-38655.597792396424","-77556.19558479285","245","-432.85554406474546","-1110.711088129491","245"
"124","-39894.03636478106","-80035.07272956212","247","-325.01952436500824","-897.0390487300165","247","-291.0520322717556","-829.1040645435112","247","-18109.93922381827","-36466.87844763654","247","49.7881887597965","-147.423622480407","247"
"125","-36885.044598777306","-74019.08919755461","249","84.2849845163754","-80.43003096724918","249","-65.1574586381899","-379.3149172763798","249","-40876.36023002789","-82001.72046005577","249","-1319.8926853275955","-2888.785370655191","249"
"126","-39496.757429039375","-79244.51485807875","251","79.76575615359616","-91.4684876928077","251","2.7998144816901913","-245.40037103661962","251","-36905.986518807054","-74062.97303761411","251","-1202.917519870564","-2656.835039741128","251"
"127","-37350.37584591214","-74953.75169182428","253","21.728477862608813","-209.54304427478237","253","-393.7537603488614","-1040.5075206977228","253","-37368.994849190974","-74990.98969838195","253","-12.262468777390666","-277.52493755478133","253"
"128","-34158.155116079804","-68571.31023215961","255","105.10847402833421","-44.78305194333158","255","14.6416516450481","-225.7166967099038","255","-40665.90548540805","-81586.8109708161","255","-696.5599192502939","-1648.1198385005878","255"
"129","-33576.73159448218","-67410.46318896436","257","-98.67045062048305","-454.3409012409661","257","-32.76179948443311","-322.5235989688662","257","-40292.12248800903","-80841.24497601806","257","-703.4361798680224","-1663.8723597360447","257"
"130","-39720.28618280672","-79699.57236561344","259","59.49338377656436","-140.01323244687129","259","-114.42192381512706","-487.8438476302541","259","-43286.00174074718","-86831.00348149436","259","-1517.927590779194","-3294.855181558388","259"
"131","-32960.00471922726","-66181.00943845452","261","-36.3683256406521","-333.7366512813042","261","53.95049808027214","-153.09900383945572","261","-41524.22217276726","-83309.44434553452","261","-1161.9196079320852","-2584.8392158641705","261"
"132","-41172.299586111374","-82607.59917222275","263","7.69455146634283","-247.61089706731434","263","-210.9824008994858","-684.9648017989716","263","-42129.68900265868","-84522.37800531735","263","-421.0440034104754","-1105.0880068209508","263"
"133","-43166.39783355336","-86597.79566710672","265","-34.490621087289924","-333.98124217457985","265","-334.6919286839483","-934.3838573678966","265","-35601.91609808517","-71468.83219617033","265","-716.6493185641019","-1698.2986371282038","265"
"134","-32369.040006870182","-65005.080013740364","267","-113.46025700044018","-493.92051400088036","267","-700.8231421462914","-1668.6462842925828","267","-39294.25588531611","-78855.51177063222","267","-304.4676650248257","-875.9353300496514","267"
"135","-39350.64144629839","-78970.28289259678","269","-156.533172797804","-582.066345595608","269","-89.22085058058926","-447.4417011611785","269","-36230.13462427913","-72729.26924855827","269","-169.5742780152575","-608.148556030515","269"
"136","-43120.64752910246","-86512.29505820492","271","-104.24436134783076","-479.4887226956615","271","-1234.9209754324324","-2740.841950864865","271","-42617.2296234575","-85505.459246915","271","-672.9719452775511","-1616.9438905551021","271"
"137","-45680.01458567347","-91633.02917134693","273","4.040117393509945","-264.9197652129801","273","-1078.1623227020593","-2429.3246454041187","273","-39700.05476732325","-79673.1095346465","273","-985.3340589105103","-2243.6681178210206","273"
"138","-39073.89648816138","-78422.79297632276","275","1.1257050055526463","-272.7485899888947","275","-1039.553940660013","-2354.107881320026","275","-40974.47666230034","-82223.95332460068","275","-407.1850864730583","-1089.3701729461166","275"
"139","-40427.42131400683","-81131.84262801366","277","-44.55085283121247","-366.10170566242493","277","-517.0415618810063","-1311.0831237620125","277","-37142.84336203778","-74562.68672407555","277","54.06408772350814","-168.87182455298372","277"
"140","-35460.5123452728","-71200.0246905456","279","-475.3163752222505","-1229.632750444501","279","-1110.445005004549","-2499.890010009098","279","-37740.369666227656","-75759.73933245531","279","-436.5432969609194","-1152.0865939218388","279"
"141","-35708.60060965733","-71698.20121931467","281","-670.0485064966007","-1621.0970129932014","281","-552.8452153371721","-1386.6904306743443","281","-37941.39553301165","-76163.7910660233","281","-107.49425312683863","-495.98850625367726","281"
"142","-41073.202620838456","-82429.40524167691","283","-282.22864446271245","-847.4572889254249","283","-1117.3202681342434","-2517.640536268487","283","-40143.45030789836","-80569.90061579672","283","-112.72654969244144","-508.4530993848829","283"
"143","-38778.907959481214","-77842.81591896243","285","-72.17017058761118","-429.34034117522236","285","-584.4158519284235","-1453.831703856847","285","-36499.481598624974","-73283.96319724995","285","38.436448264468","-208.127103471064","285"
"144","-38632.96958942195","-77552.9391788439","287","-144.49391191450104","-575.9878238290021","287","-841.8102937313965","-1970.620587462793","287","-44133.113937999646","-88553.22787599929","287","-688.9940639415258","-1664.9881278830517","287"
"145","-36777.210512688165","-73843.42102537633","289","-580.6573783854872","-1450.3147567709743","289","-549.9843407565878","-1388.9686815131756","289","-42102.61977317393","-84494.23954634786","289","10.899321168084356","-267.2013576638313","289"
"146","-42282.06043582674","-84855.12087165347","291","-252.27115306054026","-795.5423061210805","291","-1094.571773516988","-2480.143547033976","291","-38313.297603917745","-76917.59520783549","291","-400.89157152520113","-1092.7831430504023","291"
"147","-36854.8808095584","-74002.7616191168","293","-292.22778708209546","-877.4555741641909","293","-1021.5443322609913","-2336.0886645219825","293","-39533.425864790755","-79359.85172958151","293","65.8129258579298","-161.3741482841404","293"
"148","-41279.55144726759","-82854.10289453519","295","-16.41259979666586","-327.8251995933317","295","-822.2357405939122","-1939.4714811878243","295","-39623.80846034849","-79542.61692069698","295","-99.16286297676695","-493.3257259535339","295"
"149","-35139.44371158912","-70575.88742317824","297","-551.4063326510877","-1399.8126653021754","297","-615.0633232196689","-1527.1266464393377","297","-7033.296203074396","-14363.592406148791","297","-32.49764590742416","-361.9952918148483","297"
"150","-37802.36554336616","-75903.73108673232","299","-298.1195554602661","-895.2391109205322","299","-276.29038901155485","-851.5807780231097","299","-4694.143988649339","-9687.287977298678","299","37.88778751915345","-223.2244249616931","299"
"151","-33300.23257803335","-66901.4651560667","301","-420.0736075122667","-1141.1472150245334","301","6.323102873422243","-288.3537942531555","301","-6726.828929966566","-13754.657859933131","301","33.3134450523775","-234.373109895245","301"
"152","-35214.31831473336","-70731.63662946672","303","-114.71333138290083","-532.4266627658017","303","-827.151242638099","-1957.302485276198","303","-5780.573317860563","-11864.146635721127","303","60.65578659967154","-181.6884268006569","303"
"153","-42957.347066026945","-86219.69413205389","305","-287.2580433075888","-879.5160866151776","305","74.67416249042039","-155.65167501915923","305","-392.05348064234806","-1089.1069612846961","305","56.08368340294159","-192.83263319411682","305"
"154","-45796.949812544866","-91900.89962508973","307","-426.8078184614126","-1160.6156369228252","307","-67.66887677967475","-442.3377535593495","307","-112.28591131242518","-531.5718226248504","307","113.76073310583773","-79.47853378832454","307"
"155","-41592.45583619176","-83493.91167238352","309","15.330003732776362","-278.3399925344473","309","-881.0659556934249","-2071.13191138685","309","-349.87327619702154","-1008.7465523940431","309","74.13893063620738","-160.72213872758525","309"
"156","-29078.932124952436","-58468.86424990487","311","-187.60507100190466","-686.2101420038093","311","-185.0679206735805","-681.135841347161","311","-550.8082034411298","-1412.6164068822595","311","-62.57168709107748","-436.14337418215496","311"
"157","-37027.820497819004","-74368.64099563801","313","-467.2557048082384","-1247.5114096164768","313","-111.99543182164871","-536.9908636432974","313","-599.7608002659595","-1512.521600531919","313","-92.22271859421213","-497.44543718842425","313"
"158","-49349.62585528898","-99014.25171057796","315","-231.5125598930099","-778.0251197860198","315","74.50364053007833","-165.99271893984334","315","-1074.714012497741","-2464.428024995482","315","90.0679882601456","-134.8640234797088","315"
"159","-49897.12084181984","-100111.24168363967","317","-72.71622323127704","-462.4324464625541","317","-381.088524535495","-1079.17704907099","317","-410.00956619262263","-1137.0191323852453","317","128.03998548255979","-60.92002903488045","317"
"160","-42813.65995259351","-85946.31990518702","319","20.1149499682887","-278.7701000634226","319","-114.13848250696577","-547.2769650139315","319","-73.86155343914837","-466.72310687829673","319","-19.274038151675597","-357.5480763033512","319"
"161","-49897.07856637202","-100115.15713274405","321","-291.3236789829857","-903.6473579659714","321","-93.11761698620518","-507.23523397241036","321","-231.48447351870618","-783.9689470374124","321","-88.17096530505682","-497.34193061011365","321"
"162","-45125.57749063074","-90574.15498126148","323","-110.24989980328002","-543.49979960656","323","-415.030137938807","-1153.060275877614","323","-27.829712988529508","-378.659425977059","323","125.88293231238205","-71.2341353752359","323"
"163","-38098.07362513195","-76521.1472502639","325","-302.2084969944929","-929.4169939889858","325","-363.9478621672133","-1052.8957243344266","325","141.9797025999157","-41.04059480016862","325","37.675061875638306","-249.6498762487234","325"
"164","-47329.52684220953","-94986.05368441906","327","-217.73138886141913","-762.4627777228383","327","12.68967942507686","-301.6206411498463","327","-19.458414878730622","-365.91682975746124","327","79.3793067089639","-168.2413865820722","327"
"165","-41242.73298052783","-82814.46596105566","329","-578.5079540814718","-1486.0159081629436","329","-462.6870816447873","-1254.3741632895747","329","-28.69277162197841","-386.3855432439568","329","-199.5310691687123","-728.0621383374246","329"
"166","-50260.48998459042","-100851.97996918084","331","-386.84138045758027","-1104.6827609151605","331","146.439852446473","-38.12029510705403","331","40.30147874236876","-250.39704251526248","331","24.6902056431513","-281.6195887136974","331"
"167","-37448.780180612666","-75230.56036122533","333","-477.5067492908379","-1288.0134985816758","333","43.538695717244224","-245.92260856551155","333","-68.36252995438173","-469.72505990876346","333","-112.70128036047316","-558.4025607209463","333"
"168","-40236.898873361126","-80808.79774672225","335","-745.3172177901346","-1825.6344355802692","335","43.92047903629019","-247.15904192741962","335","-1222.9920715206397","-2780.9841430412794","335","-7.300967505362564","-349.60193501072513","335"
"169","-45272.17200398763","-90881.34400797526","337","-369.37721879379455","-1075.754437587589","337","-320.7193467408194","-978.4386934816388","337","-295.8108725147733","-928.6217450295466","337","21.535444223408774","-293.92911155318245","337"
"170","-37394.55637583317","-75128.11275166634","339","-292.8728474717878","-924.7456949435756","339","-275.6736654456551","-890.3473308913102","339","-199.58291939226928","-738.1658387845386","339","-98.79408321510164","-536.5881664302033","339"
"171","-42318.90641746829","-84978.81283493659","341","-454.54584541826534","-1250.0916908365307","341","-431.1270764513514","-1203.2541529027028","341","25.54285623727199","-289.914287525456","341","69.650009972647","-201.699980054706","341"
"172","-37906.783834287016","-76156.56766857403","343","-157.3648999277181","-657.7297998554362","343","-195.79104368586474","-734.5820873717295","343","-387.8864149406187","-1118.7728298812374","343","-99.76749572595111","-542.5349914519022","343"
"173","-26651.944523895698","-53648.889047791396","345","-415.5756381676347","-1176.1512763352694","345","17.56840010364769","-309.8631997927046","345","-845.4970461415757","-2035.9940922831513","345","39.209676320446675","-266.58064735910665","345"
"174","-0.3988024073748875","-347.7976048147498","347","-174.25069119918692","-695.5013823983738","347","-704.8235018032234","-1756.6470036064468","347","-8520.70381123227","-17388.40762246454","347","-92.14213442160508","-531.2842688432102","347"
"175","-160.08054678933843","-669.1610935786769","349","-137.15104342311014","-623.3020868462203","349","69.63743694306953","-209.72512611386094","349","-5957.172007575897","-12263.344015151793","349","-126.89193724376725","-602.7838744875345","349"
"176","82.40054619329791","-186.19890761340417","351","34.66637935587039","-281.6672412882592","351","9.970035823190074","-331.05992835361985","351","112.83523785463973","-125.32952429072054","351","-84.7782074008972","-520.5564148017944","351"
"177","66.66111278946563","-219.67777442106873","353","-30.914001794546863","-414.8280035890937","353","-314.6574174077645","-982.314834815529","353","-2656.1284181235205","-5665.256836247041","353","-28.052190447463147","-409.1043808949263","353"
"178","41.221367724042324","-272.55726455191535","355","21.252990005479916","-312.49401998904017","355","4.916925222822641","-345.1661495543547","355","15.33099796853125","-324.3380040629375","355","163.5927071683687","-27.81458566326264","355"
"179","-96.56650477635827","-550.1330095527165","357","52.37092402961679","-252.25815194076642","357","125.55010395610296","-105.8997920877941","357","-4541.397460766422","-9439.794921532844","357","-2.985311926450379","-362.97062385290076","357"
"180","78.11620388634513","-202.76759222730973","359","-17.333988628255497","-393.667977256511","359","93.06510013942444","-172.8697997211511","359","-9171.96455833898","-18702.92911667796","359","172.33744693661703","-14.325106126765917","359"
"181","-141.6847432827189","-644.3694865654378","361","-8.37738139636025","-377.7547627927205","361","-197.59505624578003","-756.1901124915601","361","-3109.9423523402497","-6580.884704680499","361","67.04696640877178","-226.90606718245644","361"
"182","-575.4947860329141","-1513.9895720658283","363","-263.62486434683007","-890.2497286936601","363","-515.4662128119678","-1393.9324256239356","363","-172.83994509341778","-708.6798901868356","363","54.79627070820307","-253.40745858359386","363"
"183","-0.7554108126294921","-366.510821625259","365","92.99165856635899","-179.01668286728201","365","59.3431529100082","-246.3136941799836","365","119.81805197574485","-125.36389604851028","365","133.98425663123973","-97.03148673752054","365"
"184","-71.32402308301718","-509.64804616603436","367","68.56023688662312","-229.87952622675377","367","129.54706095959406","-107.90587808081189","367","62.86795224324723","-241.26409551350554","367","-450.9071698408152","-1268.8143396816304","367"
"185","62.44652466409171","-244.10695067181658","369","-195.98913354955306","-760.9782670991061","369","-250.69300022191146","-870.3860004438229","369","-5950.585157879113","-12270.170315758225","369","-207.59971512091403","-784.199430241828","369"
"186","114.61020576273451","-141.77958847453098","371","-68.5262881013889","-508.0525762027778","371","-3.616031513557175","-378.23206302711435","371","166.33433318629932","-38.33133362740139","371","-158.05944949426225","-687.1188989885245","371"
"187","-15487.028023786408","-31347.056047572816","373","-29.14835460341834","-431.2967092068367","373","72.21141395752096","-228.57717208495808","373","155.2659927299951","-62.46801454000976","373","17.34774294034048","-338.30451411931904","373"
"188","-11790.88057388327","-23956.76114776654","375","130.12879417518366","-114.74241164963271","375","-504.2489621994662","-1383.4979243989324","375","115.04638181749655","-144.9072363650069","375","116.49954890424917","-142.00090219150167","375"
"189","-8017.43654681935","-16411.8730936387","377","-201.5694666882078","-780.1389333764156","377","-107.61007367526742","-592.2201473505348","377","163.71053914265926","-49.57892171468147","377","-68.7683352763932","-514.5366705527864","377"
"190","-40611.020866984814","-81601.04173396963","379","68.8087186149007","-241.3825627701986","379","-1103.8855614443573","-2586.7711228887147","379","-186.27981087859553","-751.559621757191","379","111.9323225445076","-155.1353549109848","379"
"191","-52589.99284354512","-105560.98568709024","381","-33.54611483023109","-448.0922296604622","381","-136.48783857727716","-653.9756771545543","381","160.52374449860525","-59.95251100278947","381","163.44544692632485","-54.10910614735029","381"
"192","-47854.67508183577","-96092.35016367154","383","4.526789239554233","-373.94642152089153","383","-1195.0185535337582","-2773.0371070675164","383","123.98236178490892","-135.03527643018217","383","50.661751236639475","-281.67649752672105","383"
"193","-57546.57490107211","-115478.14980214422","385","-44.68709535695277","-474.37419071390553","385","41.207482142067846","-302.5850357158643","385","91.68673554126237","-201.62652891747527","385","26.939494567376244","-331.1210108652475","385"
"194","-55547.28964541897","-111481.57929083794","387","157.91666952855465","-71.16666094289069","387","-179.6047250639234","-746.2094501278468","387","179.4385555135599","-28.122888972880222","387","-171.17438046339038","-729.3487609267808","387"
"195","-58167.534930889626","-116724.06986177925","389","-452.6940982496983","-1294.3881964993966","389","-1012.2849149518318","-2413.5698299036635","389","138.83057876176733","-111.33884247646533","389","-291.6960809934066","-972.3921619868132","389"
"196","-50657.006109803755","-101705.01221960751","391","-49.958116386111925","-490.91623277222385","391","79.55247115802614","-231.89505768394773","391","73.09034222893372","-244.81931554213256","391","77.27055243937112","-236.45889512125777","391"
"197","-63813.293003946164","-128019.58600789233","393","162.68069040122862","-67.63861919754278","393","-103.27800680921592","-599.5560136184318","393","102.48663398851203","-188.02673202297595","393","168.63607528669147","-55.72784942661706","393"
"198","-48398.16719514603","-97191.33439029206","395","168.46944834385457","-58.061103312290854","395","-402.34268138765935","-1199.6853627753187","395","175.93880046569546","-43.122399068609084","395","-38.79509981471463","-472.59019962942926","395"
"199","-48095.63198751359","-96588.26397502718","397","158.5747748027819","-79.85045039443622","397","16.501625930714624","-363.99674813857075","397","63.82968582225459","-269.3406283554908","397","-149.59070938958945","-696.1814187791789","397"
"200","-46627.463249941524","-93653.92649988305","399","83.48489685705188","-232.03020628589624","399","154.58801595977297","-89.82396808045405","399","187.84286839841752","-23.314263203164973","399","-91.86781617871185","-582.7356323574237","399"
"201","-50978.17459290313","-102357.34918580626","401","-11.846852713145239","-424.6937054262905","401","94.48024998667915","-212.0395000266417","401","187.34169322569278","-26.31661354861444","401","-427.8443968888314","-1256.6887937776628","401"
"202","-43391.356636929224","-87185.71327385845","403","139.59181067064955","-123.8163786587009","403","94.70763544331804","-213.58472911336392","403","31.551356415626714","-339.8972871687466","403","-227.4102185994288","-857.8204371988576","403"
"203","-47062.380147933894","-94529.76029586779","405","77.10978722438965","-250.7804255512207","405","55.85730737062215","-293.2853852587557","405","113.74673493290317","-177.50653013419367","405","-266.04566080782405","-937.0913216156481","405"
"204","-45651.40387281785","-91709.8077456357","407","-56.143011389028004","-519.286022778056","407","66.4432538536114","-274.1134922927772","407","162.66800333675656","-81.6639933264869","407","94.52518428072932","-217.94963143854136","407"
"205","-53443.05590895081","-107295.11181790162","409","129.658367160909","-149.68326567818198","409","-573.8334354110323","-1556.6668708220645","409","123.04440577328829","-162.91118845342342","409","-476.54656555212614","-1362.0931311042523","409"
"206","-48181.67756424151","-96774.35512848302","411","192.52115214650908","-25.957695706981823","411","-183.03973504618943","-777.0794700923789","411","-24.776858225501314","-460.55371645100263","411","-165.80789060060425","-742.6157812012085","411"
"207","-54074.18416046293","-108561.36832092586","413","125.27405890052904","-162.45188219894192","413","-449.1083245604144","-1311.2166491208288","413","155.67291825594225","-101.65416348811553","413","-767.0966663139983","-1947.1933326279966","413"
"208","-54050.313618880034","-108515.62723776007","415","-66.82776443719922","-548.6555288743984","415","152.90982606463444","-109.18034787073114","415","-170.9430162372904","-756.8860324745808","415","-706.2484451459366","-1827.4968902918731","415"
"209","-58709.256398899386","-117835.51279779877","417","147.20688115423633","-122.58623769152736","417","108.61840025395651","-199.76319949208698","417","-393.0743464977003","-1203.1486929954006","417","-927.8404689702443","-2272.6809379404885","417"
"210","-59519.27199389431","-119457.54398778862","419","-35.66324379951908","-490.32648759903816","419","60.565394483999","-297.869211032002","419","170.92904701098553","-77.14190597802893","419","-436.64703773855945","-1292.294075477119","419"
"211","-55737.28838626654","-111895.57677253308","421","-113.45984519651353","-647.919690393027","421","184.87759413205777","-51.24481173588449","421","204.2735806600643","-12.45283867987138","421","-979.0643153048231","-2379.1286306096463","421"
"212","-54881.69394474495","-110186.3878894899","423","104.37188785923026","-214.2562242815395","423","1.9243996512515196","-419.15120069749696","423","135.2924073239094","-152.4151853521812","423","-981.9042857781635","-2386.808571556327","423"
"213","-52859.667785697515","-106144.33557139503","425","172.58491091996297","-79.83017816007408","425","40.4613778503267","-344.0772442993466","425","-838.8159896591578","-2102.6319793183156","425","-1215.0320197287135","-2855.064039457427","425"
"214","-52084.55785495668","-104596.11570991336","427","-16.52511597409196","-460.0502319481839","427","-607.8547537002848","-1642.7095074005697","427","-3256.741532598262","-6940.483065196524","427","-391.8868064487672","-1210.7736128975343","427"
"215","-46211.93226485309","-92852.86452970617","429","-400.4672933209248","-1229.9345866418496","429","-852.2582645321525","-2133.516529064305","429","165.3542437302004","-98.29151253959918","429","-612.2487701317013","-1653.4975402634027","429"
"216","-53918.340141738736","-108267.68028347747","431","-98.282913529356","-627.565827058712","431","147.14837040048167","-136.70325919903664","431","74.39837970435997","-282.20324059128006","431","-1121.5907597014705","-2674.181519402941","431"
"217","-49254.27304623487","-98941.54609246974","433","183.45622899059285","-66.08754201881429","433","163.5454986816112","-105.9090026367776","433","200.60639732378263","-31.78720535243473","433","-913.1895816079038","-2259.3791632158077","433"
"218","-53302.51063613292","-107040.02127226585","435","-574.9108277918272","-1584.8216555836543","435","-379.09317864304865","-1193.1863572860973","435","-4393.778436007072","-9222.556872014144","435","-457.331252581016","-1349.662505162032","435"
"219","-50289.61267483812","-101016.22534967624","437","57.142662745541855","-322.7146745089163","437","-682.4940167046453","-1801.9880334092907","437","210.5287278813818","-15.942544237236392","437","-224.81138513998093","-886.6227702799619","437"
"220","-54430.12924754091","-109299.25849508181","439","-2401.4861142122904","-5241.972228424581","439","-3.4911813490660677","-445.98236269813214","439","40.22403271259239","-358.5519345748152","439","17.766209988753133","-403.46758002249373","439"
"221","-25872.672305720713","-52186.344611441426","441","-815.7652115602809","-2072.530423120562","441","-212.499850029271","-865.999700058542","441","70.5290475254769","-299.9419049490462","441","-316.64802598834683","-1074.2960519766937","441"
"222","-33221.54850448024","-66886.09700896048","443","-9062.52804014624","-18568.05608029248","443","-436.85838995541985","-1316.7167799108397","443","-1262.6124600323346","-2968.2249200646693","443","-27.7184819978078","-498.4369639956156","443"
"223","-16033.142012758692","-32511.284025517383","445","-16343.659574880749","-33132.3191497615","445","66.90617942897427","-311.18764114205146","445","137.00510155300086","-170.9897968939983","445","-186.98841653020554","-818.9768330604111","445"
"224","216.63209320447643","-13.73581359104716","447","-17908.957527471","-36264.915054942","447","-110.732296934234","-668.464593868468","447","-666.6247717934056","-1780.2495435868111","447","-816.5925681273648","-2080.1851362547295","447"
"225","88.5095266550097","-271.9809466899806","449","-1348.6011828057483","-3146.2023656114966","449","-9.19511832718112","-467.39023665436224","449","-762.4264424298691","-1973.8528848597382","449","-633.2233645259706","-1715.4467290519412","449"
"226","159.1883746621566","-132.62325067568676","451","-4776.014988780582","-10003.029977561164","451","137.40069424072425","-176.1986115185515","451","199.69996770666882","-51.6000645866624","451","102.29001457588544","-246.41997084822913","451"
"227","98.74862363274255","-255.5027527345149","453","-1170.131969339303","-2793.263938678606","453","94.41893206159762","-264.16213587680477","453","194.8700482493532","-63.2599035012936","453","-594.2572132281019","-1641.5144264562039","453"
"228","-345.7348910208484","-1146.4697820416968","455","-10.476290311911157","-475.9525806238223","455","-72.30056224526788","-599.6011244905358","455","42.52187694094141","-369.9562461181172","455","-26.023341374482328","-507.04668274896466","455"
"229","-18.51928675782972","-494.03857351565944","457","-525.345398242621","-1507.690796485242","457","-165.52758049309557","-788.0551609861911","457","88.62651051028698","-279.74697897942605","457","-151.59947726467362","-760.1989545293472","457"
"230","-8.527199546715508","-476.054399093431","459","98.79267251927129","-261.4146549614574","459","-70.01091205646236","-599.0218241129247","459","207.32798813777794","-44.34402372444413","459","-42.72267269423918","-544.4453453884784","459"
"231","65.29423449987758","-330.41153100024485","461","-28.014271366242326","-517.0285427324847","461","-914.2532432059415","-2289.506486411883","461","176.72167487092437","-107.55665025815125","461","-202.26132247132483","-865.5226449426497","461"
"232","68.50464489346405","-325.9907102130719","463","-415.24279405976495","-1293.48558811953","463","-61224.2857650252","-122911.5715300504","463","171.72319401354187","-119.55361197291626","463","95.38262000872436","-272.2347599825513","463"
"233","-92.11023143994828","-649.2204628798966","465","-102.29487761881984","-669.5897552376397","465","-73324.62558534868","-147114.25117069736","465","203.26333852634266","-58.47332294731469","465","-44.82768063769856","-554.6553612753971","465"
"234","-383.2581455890264","-1233.5162911780528","467","-860.1173405809784","-2187.234681161957","467","-79801.89678164781","-160070.79356329562","467","-137.33349597722065","-741.6669919544413","467","146.79687852774674","-173.4062429445065","467"
"235","54.19400395715434","-360.6119920856913","469","-149.97368341336608","-768.9473668267322","469","-64777.77986280221","-130024.55972560441","469","153.32218963973457","-162.35562072053082","469","142.21463457282516","-184.57073085434965","469"
"236","162.58923929821094","-145.82152140357812","471","-5.1189851377331195","-481.23797027546624","471","-66374.4992866763","-133219.9985733526","471","179.12523896888953","-112.74952206222092","471","-111.2215288388071","-693.4430576776142","471"
"237","196.61634714259196","-79.76730571481609","473","146.9569521134969","-179.0860957730062","473","-56201.205070480864","-112875.41014096173","473","213.84737091210766","-45.30525817578469","473","29.729441934781676","-413.54111613043665","473"
"238","-274.0615378798989","-1023.1230757597978","475","153.2904220825365","-168.41915583492695","475","-74061.68898352109","-148598.37796704218","475","-260.38077198612496","-995.7615439722499","475","-139.37128955980194","-753.7425791196039","475"
"239","98.13916274275823","-280.72167451448354","477","46.90029397854798","-383.19941204290404","477","-64467.120215290495","-129411.24043058099","477","-280.16864808446303","-1037.337296168926","477","-49.26251344631447","-575.525026892629","477"
"240","-44.54555964980432","-568.0911192996086","479","121.8390626390554","-235.3218747218892","479","-56952.68203447631","-114384.36406895262","479","231.19994056608797","-16.60011886782406","479","94.37580295210597","-290.24839409578806","479"
"241","90.88198637663533","-299.23602724672935","481","-75.04530445656434","-631.0906089131287","481","-75207.59487455367","-150896.18974910735","481","156.64846289254533","-167.70307421490935","481","159.81335861075635","-161.3732827784873","481"
"242","189.04338466928382","-104.91323066143237","483","150.68596616792416","-181.6280676641517","483","-58948.34413628319","-118379.68827256637","483","162.36784764970656","-158.26430470058685","483","176.1008704771716","-130.7982590456568","483"
"243","202.243122404131","-80.51375519173803","485","141.85131536545924","-201.2973692690815","485","-68786.68035846126","-138058.36071692253","485","85.0386387082624","-314.9227225834752","485","-276.07402618110905","-1037.148052362218","485"
"244","-441.1543861697262","-1369.3087723394524","487","188.96279329899517","-109.07441340200967","487","-73204.97462635198","-146896.94925270395","487","-355.96292943434855","-1198.925858868697","487","45.157200370695534","-396.68559925860893","487"
"245","96.03438028275178","-296.93123943449643","489","-21.554987239102445","-532.1099744782049","489","-57339.256942612345","-115167.51388522469","489","26.565739990782248","-435.8685200184355","489","-438.8775092316946","-1366.7550184633892","489"
"246","23.843186498668047","-443.3136270026639","491","-96.59651923738994","-684.1930384747799","491","-60124.70982818722","-120740.41965637443","491","-1125.2264008902998","-2741.4528017805997","491","153.0030471306144","-184.99390573877122","491"
"247","204.9254456665102","-83.14910866697963","493","-34.19765345523922","-561.3953069104784","493","-61809.05735289121","-124111.11470578241","493","-328.4011923233471","-1149.8023846466942","493","-426.91331354880333","-1346.8266270976067","493"
"248","-21.398987740369478","-537.797975480739","495","3.643842502391493","-487.712314995217","495","-61437.13835593584","-123369.27671187167","495","144.71847228532323","-205.5630554293535","495","-395.59407952199683","-1286.1881590439937","495"
"249","77.29013374216777","-342.41973251566446","497","86.44998468073572","-324.10003063852855","497","-58879.106254863094","-118255.21250972619","497","12.624285240257251","-471.7514295194855","497","34.21311001256558","-428.57377997486884","497"
"250","110.82334241290084","-277.3533151741983","499","234.59227076397084","-29.815458472058324","499","-77557.82599344272","-155614.65198688544","499","177.87988872454878","-143.24022255090242","499","-386.72978630661714","-1272.4595726132343","499"
"251","191.93684618064196","-117.12630763871606","501","213.43012537199814","-74.1397492560037","501","-70937.2214276007","-142375.4428552014","501","-441.9384244716849","-1384.8768489433699","501","-630.1194046131515","-1761.238809226303","501"
"252","192.25159411077468","-118.49681177845065","503","240.08609573704214","-22.82780852591571","503","-65636.73651491826","-131776.47302983652","503","193.68350902608506","-115.63298194782989","503","-617.0697567177549","-1737.1395134355098","503"
"253","-39.50773384987997","-584.0154676997599","505","-142.83523905155135","-790.6704781031027","505","-62978.83764915627","-126462.67529831253","505","-36.709506681913695","-578.4190133638274","505","-1277.6025488993287","-3060.2050977986573","505"
"254","-2.4298325245266597","-511.8596650490533","507","16.106846777174667","-474.78630644565067","507","-68506.28949554321","-137519.57899108643","507","-511.983871452332","-1530.967742904664","507","-217.60780726705838","-942.2156145341168","507"
