"episode","helpful-wind-308","helpful-wind-308__MIN","helpful-wind-308__MAX","upbeat-lion-306","upbeat-lion-306__MIN","upbeat-lion-306__MAX","avid-pond-302","avid-pond-302__MIN","avid-pond-302__MAX","upbeat-morning-300","upbeat-morning-300__MIN","upbeat-morning-300__MAX","treasured-sky-299","treasured-sky-299__MIN","treasured-sky-299__MAX"
"34","-104.991357665576","-276.982715331152","67","-37945.06001475302","-75957.12002950604","67","-29.476183489206917","-125.95236697841383","67","16.50997962770111","-33.98004074459778","67","-377.0886303519387","-821.1772607038774","67"
"35","-170.71886364231412","-410.43772728462824","69","-37948.40788489024","-75965.81576978049","69","3.0799482827511966","-62.84010343449761","69","-1.9982750275901964","-72.99655005518039","69","-261.09586686105433","-591.1917337221087","69"
"36","4.38623444051775","-62.2275311189645","71","-39626.655443105425","-79324.31088621085","71","-305.34112443471173","-681.6822488694235","71","4.39102386518357","-62.21795226963286","71","-263.8928838977019","-598.7857677954038","71"
"37","-79.27977521316228","-231.55955042632456","73","-28357.10701992792","-56787.21403985584","73","-103.97359107939141","-280.9471821587828","73","-29.015381613600837","-131.03076322720167","73","-91.3866280396606","-255.7732560793212","73"
"38","-55.12396416175649","-185.24792832351298","75","-41490.08703855125","-83055.1740771025","75","-96.12031601580864","-267.2406320316173","75","18.398135662384657","-38.203728675230685","75","-204.79189753199807","-484.58379506399615","75"
"39","-5.1765715684951985","-87.3531431369904","77","-30371.681811486545","-60820.36362297309","77","-286.36880590218385","-649.7376118043677","77","-68.26180370836101","-213.52360741672203","77","-6.637303175432436","-90.27460635086487","77"
"40","-401.34343229560477","-881.6868645912095","79","-27463.50323007258","-55006.00646014516","79","-56.495601649708206","-191.9912032994164","79","-20.426688217815354","-119.85337643563071","79","-13.896828912950184","-106.79365782590037","79"
"41","31.37797866433913","-18.244042671321743","81","-30141.434316471248","-60363.868632942496","81","-20.071890444653036","-121.14378088930607","81","23.96444867874091","-33.07110264251818","81","14.433226277264474","-52.13354744547105","81"
"42","12.688192821510516","-57.62361435697897","83","-21531.082651208508","-43145.165302417015","83","-571.6112453103744","-1226.2224906207489","83","23.21584626055435","-36.5683074788913","83","-280.3290578909946","-643.6581157819892","83"
"43","3.421598589598922","-78.15680282080216","85","-14778.024357664439","-29641.048715328878","85","-519.3753495401185","-1123.750699080237","85","-215.29818970257685","-515.5963794051537","85","-179.34084074504227","-443.68168149008454","85"
"44","-176.43964223585442","-439.87928447170884","87","-10048.582521396236","-20184.165042792472","87","-89.96217815899848","-266.92435631799697","87","-58.203032219697135","-203.40606443939427","87","-219.6351460385095","-526.270292077019","87"
"45","-46.415477471158695","-181.8309549423174","89","-13708.437779052496","-27505.87555810499","89","-68.12662525558684","-225.2532505111737","89","-148.10845885282362","-385.21691770564723","89","-220.89549663065748","-530.790993261315","89"
"46","15.839665293145725","-59.32066941370855","91","-8101.400682220372","-16293.801364440744","91","21.163206090824097","-48.673587818351805","91","33.83627751671987","-23.32744496656026","91","-49.61102918845508","-190.22205837691016","91"
"47","-224.2832349726171","-541.5664699452342","93","-10167.966760202818","-20428.933520405637","93","-46.23699835391933","-185.47399670783867","93","-2.2341407359194676","-97.46828147183894","93","-398.4863221002662","-889.9726442005324","93"
"48","-77.95769822359983","-250.91539644719967","95","-5373.600939218749","-10842.201878437498","95","-574.6402075845082","-1244.2804151690164","95","-84.12308891790465","-263.2461778358093","95","-366.035009731626","-827.070019463252","95"
"49","3.913467149493165","-89.17306570101367","97","-4895.814571900545","-9888.62914380109","97","-312.701484818275","-722.40296963655","97","-4.77821724298925","-106.5564344859785","97","-166.24720530574368","-429.49441061148735","97"
"50","-57.96925404188991","-214.93850808377982","99","-2153.751705310513","-4406.503410621026","99","-69.07792142064422","-237.15584284128843","99","8.933163543557534","-81.13367291288493","99","-153.79687777401082","-406.59375554802165","99"
"51","-48.929226236075735","-198.85845247215147","101","-1457.2480981369126","-3015.4961962738253","101","-17.844731551751096","-136.6894631035022","101","19.713471796024574","-61.57305640795085","101","-373.36580724547724","-847.7316144909545","101"
"52","0.008472901732126559","-102.98305419653575","103","-1773.2950022302164","-3649.5900044604327","103","-392.65151245473135","-888.3030249094627","103","6.488426616795621","-90.02314676640876","103","-140.68766810681072","-384.37533621362144","103"
"53","-183.334023205434","-471.668046410868","105","-2107.673781144426","-4320.347562288852","105","-171.09265532567224","-447.1853106513445","105","-122.678428766927","-350.356857533854","105","-41.28255382683966","-187.56510765367932","105"
"54","-92.08183974394763","-291.16367948789525","107","-1751.263422839435","-3609.52684567887","107","-984.4694587219283","-2075.9389174438566","107","-12.498297236731545","-131.9965944734631","107","-409.842812422841","-926.685624845682","107"
"55","-296.8904327259208","-702.7808654518416","109","-1166.8673509470545","-2442.734701894109","109","-29.123927336640207","-167.24785467328041","109","-83.43939248262947","-275.87878496525894","109","-293.05647119355183","-695.1129423871037","109"
"56","-233.21668135745932","-577.4333627149186","111","-1158.1648070649346","-2427.3296141298692","111","-7.826740519834665","-126.65348103966933","111","-109.83167659584677","-330.66335319169355","111","-250.71816913484327","-612.4363382696865","111"
"57","-346.0765396361743","-805.1530792723486","113","-1243.1300607581186","-2599.260121516237","113","23.491196974091174","-66.01760605181765","113","-58.61233410036755","-230.2246682007351","113","-17.11593107691469","-147.23186215382938","113"
"58","-702.2055500245319","-1519.4111000490639","115","-1737.6772821580712","-3590.3545643161424","115","-28.200360361730645","-171.4007207234613","115","-1.6976693316870168","-118.39533866337403","115","9.047442932510535","-96.90511413497893","115"
"59","-438.89900364716993","-994.7980072943399","117","-1980.0338075730695","-4077.067615146139","117","47.591482113404695","-21.817035773190618","117","-105.2168792163018","-327.4337584326036","117","17.928328973362248","-81.1433420532755","117"
"60","-127.76585114378892","-374.53170228757784","119","-1167.667309705131","-2454.334619410262","119","11.278949166981917","-96.44210166603617","119","34.95088332206774","-49.09823335586453","119","-107.59849755797697","-334.19699511595394","119"
"61","-175.67814105178974","-472.3562821035795","121","-927.1979804788027","-1975.3959609576054","121","-52.555374138679014","-226.11074827735803","121","29.141186777896912","-62.717626444206175","121","29.33439136774047","-62.33121726451906","121"
"62","-97.93915437272528","-318.87830874545057","123","-957.8771911220094","-2038.7543822440189","123","-357.64957782328435","-838.2991556465687","123","51.40430717460665","-20.191385650786703","123","-75.07443764976779","-273.1488752995356","123"
"63","-10.886738254222536","-146.77347650844507","125","-1260.9934634013534","-2646.986926802707","125","-571.6187769748287","-1268.2375539496575","125","38.021968506309975","-48.95606298738005","125","-328.44814194079953","-781.8962838815991","125"
"64","-80.43007834211252","-287.86015668422505","127","-887.5010649424294","-1902.0021298848587","127","36.64249408816277","-53.71501182367446","127","1.7534875599227888","-123.49302488015442","127","-225.5225344817951","-578.0450689635902","127"
"65","-76.68888700361143","-282.37777400722285","129","-1005.7665931472734","-2140.533186294547","129","-87.94554150227188","-304.89108300454376","129","45.16743397003265","-38.66513205993471","129","-94.99138074750866","-318.9827614950173","129"
"66","37.86642795214797","-55.26714409570405","131","-1015.9671656499686","-2162.934331299937","131","-0.8196059597047878","-132.63921191940958","131","-83.00299266544874","-297.0059853308975","131","-58.50605663469594","-248.01211326939188","131"
"67","27.6592682601312","-77.6814634797376","133","-788.9417168183529","-1710.8834336367058","133","41.61780286266041","-49.76439427467918","133","1.5828958905469648","-129.83420821890607","133","13.309700823413863","-106.38059835317227","133"
"68","49.33832830501026","-36.323343389979485","135","-589.0762787046523","-1313.1525574093046","135","0.43422897662273385","-134.13154204675453","135","-40.46865728824402","-215.93731457648803","135","8.297426708788372","-118.40514658242326","135"
"69","-5.828560291821034","-148.65712058364207","137","-1264.3612244920998","-2665.7224489841997","137","-169.27034151509704","-475.5406830301941","137","-30.693304943576138","-198.38660988715228","137","-195.09934394759148","-527.198687895183","137"
"70","-360.4150405142725","-859.830081028545","139","-374.72804402699177","-888.4560880539835","139","35.77708723461501","-67.44582553076998","139","35.478192850790606","-68.04361429841879","139","-103.57451435305657","-346.14902870611314","139"
"71","-400.21959729152775","-941.4391945830555","141","-548.6220846272386","-1238.2441692544771","141","-93.58726927076927","-328.17453854153854","141","22.27757924548611","-96.44484150902778","141","-113.14472213168318","-367.28944426336636","141"
"72","-350.0899708180763","-843.1799416361526","143","-412.30968506101647","-967.6193701220329","143","31.150203471737868","-80.69959305652426","143","19.505974409434366","-103.98805118113127","143","48.2824476577198","-46.43510468456039","143"
"73","17.072766840442753","-110.8544663191145","145","-585.0438765003877","-1315.0877530007754","145","-306.8692044130416","-758.7384088260832","145","37.253072203970135","-70.49385559205973","145","26.74796852264926","-91.50406295470148","145"
"74","-222.64904546233777","-592.2980909246755","147","-346.90875261478226","-840.8175052295645","147","-879.5353720931632","-1906.0707441863265","147","42.145520286793015","-62.70895942641397","147","38.06878379584353","-70.86243240831294","147"
"75","-312.915643021","-774.831286042","149","-212.53247226768713","-574.0649445353743","149","-193.52307743041962","-536.0461548608392","149","44.038116984567196","-60.923766030865615","149","-55.5091503825123","-260.0183007650246","149"
"76","-285.98509840732936","-722.9701968146587","151","-200.6674462618036","-552.3348925236072","151","-100.00278308578078","-351.00556617156155","151","65.65640834854618","-19.687183302907645","151","14.039288329702678","-122.92142334059464","151"
"77","-211.04842390413035","-575.0968478082607","153","-367.0804145539964","-887.1608291079928","153","-105.80684690805558","-364.61369381611115","153","18.87211531044528","-115.25576937910944","153","-85.80389394690485","-324.6077878938097","153"
"78","23.98352240505205","-107.0329551898959","155","-358.2764691160877","-871.5529382321754","155","-43.00087835056888","-241.00175670113777","155","57.743487522738825","-39.51302495452235","155","-143.81474236667606","-442.6294847333521","155"
"79","-328.3100354612495","-813.620070922499","157","-101.29603029633412","-359.59206059266825","157","-50.528247058923654","-258.0564941178473","157","68.1045453483223","-20.790909303355402","157","63.028442627404445","-30.943114745191114","157"
"80","-70.28349465528177","-299.56698931056354","159","24.571734210166227","-109.85653157966755","159","-101.78029521452683","-362.56059042905366","159","59.39585377846","-40.20829244308","159","40.51200493829269","-77.97599012341462","159"
"81","-94.3093863245725","-349.618772649145","161","-267.04003857094534","-695.0800771418907","161","45.77828061487722","-69.44343877024556","161","64.06231074061328","-32.87537851877343","161","3.830410723674021","-153.33917855265196","161"
"82","-137.4098113818609","-437.8196227637218","163","-371.4462746876691","-905.8925493753381","163","-111.19614522986166","-385.3922904597233","163","37.26952189635173","-88.46095620729653","163","-16.82495359956657","-196.64990719913314","163"
"83","-105.15799632356584","-375.3159926471317","165","-281.14597533697673","-727.2919506739535","165","-149.61213050545214","-464.2242610109043","165","-12.624412392746265","-190.24882478549253","165","-157.95201945726492","-480.90403891452985","165"
"84","-382.2504534268627","-931.5009068537254","167","-407.05645517210525","-981.1129103442105","167","-27.072999511827206","-221.1459990236544","167","34.257108934829674","-98.48578213034065","167","-521.7738903017924","-1210.547780603585","167"
"85","-481.51535244137517","-1132.0307048827503","169","-851.3254246927778","-1871.6508493855556","169","-21.770291467214918","-212.54058293442984","169","30.86510409410502","-107.26979181178996","169","-611.4943083566862","-1391.9886167133725","169"
"86","-34.91293163645892","-240.82586327291784","171","-1336.8261410484192","-2844.6522820968385","171","-446.7820973686722","-1064.5641947373445","171","43.39970659979853","-84.20058680040295","171","16.14125714529618","-138.71748570940764","171"
"87","-298.8739875527603","-770.7479751055206","173","-858.8868911442486","-1890.7737822884972","173","-157.1826522850072","-487.3653045700144","173","29.773828058457134","-113.45234388308573","173","-118.04634175730587","-409.09268351461174","173"
"88","-209.3476404114486","-593.6952808228972","175","-413.03820287635597","-1001.0764057527119","175","-98.84792856232343","-372.69585712464686","175","69.03944893397333","-36.921102132053335","175","-456.33681657702675","-1087.6736331540535","175"
"89","-164.71845299012932","-506.43690598025864","177","-895.1706300168313","-1967.3412600336626","177","31.539277578960835","-113.92144484207833","177","66.72640744391273","-43.54718511217454","177","-1507.9106835517011","-3192.8213671034023","177"
"90","-804.4757239921354","-1787.9514479842708","179","-352.41627082711574","-883.8325416542315","179","54.483322674947566","-70.03335465010487","179","45.627787067754404","-87.74442586449119","179","-2148.357039681846","-4475.714079363692","179"
"91","-442.2729153775384","-1065.5458307550768","181","-1012.0043680146753","-2205.0087360293505","181","-455.78654923801287","-1092.5730984760257","181","-25.50420754324746","-232.00841508649492","181","-1324.4644527170303","-2829.9289054340607","181"
"92","-213.5021815394827","-610.0043630789654","183","-202.70267561988766","-588.4053512397753","183","9.472382967500735","-164.05523406499853","183","66.84891350612067","-49.30217298775866","183","-719.4607198458815","-1621.921439691763","183"
"93","-240.15679970711471","-665.3135994142294","185","-647.0191960938841","-1479.0383921877683","185","-47.58441563857431","-280.1688312771486","185","35.92875035166787","-113.14249929666425","185","-2196.50077277996","-4578.00154555992","185"
"94","-48.38331398442014","-283.7666279688403","187","-462.2811620583044","-1111.5623241166088","187","-3.932603420917971","-194.86520684183594","187","43.79335818249805","-99.4132836350039","187","-1091.4661845614787","-2369.9323691229574","187"
"95","-52.35848636594014","-293.7169727318803","189","-433.9969611773545","-1056.993922354709","189","49.4042771525792","-90.1914456948416","189","72.2921462362471","-44.4157075275058","189","-5173.162937432849","-10535.325874865697","189"
"96","-109.34674519123439","-409.6934903824688","191","-402.11704906753613","-995.2340981350723","191","-173.20830224871446","-537.4166044974289","191","72.3661881649127","-46.267623670174615","191","-4937.996113554522","-10066.992227109044","191"
"97","-99.77877977201922","-392.55755954403844","193","-361.25296538020467","-915.5059307604093","193","53.53674412143186","-85.92651175713628","193","-24.010611569256156","-241.0212231385123","193","-3149.8739592861216","-6492.747918572243","193"
"98","-224.6390293757259","-644.2780587514518","195","-385.84417270919425","-966.6883454183885","195","-96.6836176675132","-388.3672353350264","195","68.6776079546495","-57.644784090700995","195","-3187.882707760379","-6570.765415520758","195"
"99","-329.30952240771705","-855.6190448154341","197","-114.61579204705802","-426.23158409411604","197","-338.2271855649093","-873.4543711298186","197","75.92350236313499","-45.15299527373004","197","-23.366829480822958","-243.73365896164592","197"
"100","35.85092507624769","-127.29814984750462","199","-558.4430813112134","-1315.8861626224268","199","60.58796608623532","-77.82406782752936","199","96.23662667659534","-6.52674664680932","199","-45.34739900406157","-289.69479800812314","199"
"101","-49.57004821001044","-300.1400964200209","201","-381.86584781276605","-964.7316956255321","201","-130.50158687333595","-462.0031737466719","201","-60.77520540360999","-322.55041080722","201","31.113265738793928","-138.77346852241214","201"
"102","-37.051636647494604","-277.1032732949892","203","-418.87046023798257","-1040.7409204759651","203","15.683501437989676","-171.63299712402065","203","20.494039525095346","-162.0119209498093","203","88.5432924116186","-25.913415176762808","203"
"103","-0.26537885573793574","-205.53075771147587","205","-117.25498448936247","-439.50996897872494","205","67.05803333313091","-70.88393333373817","205","76.18416813172124","-52.63166373655751","205","59.88854666906847","-85.22290666186306","205"
"104","-74.51939440272511","-356.0387888054502","207","-322.93947316052413","-852.8789463210483","207","2.571343661440764","-201.85731267711847","207","0.7321879005832699","-205.53562419883346","207","66.08331208329147","-74.83337583341707","207"
"105","-66.86746063198439","-342.7349212639688","209","-416.66506401575987","-1042.3301280315197","209","-221.32299341828298","-651.645986836566","209","95.80709315324867","-17.385813693502655","209","23.993884021851613","-161.01223195629677","209"
"106","-390.0245312616831","-991.0490625233662","211","-210.58648155268116","-632.1729631053623","211","82.08200811895385","-46.8359837620923","211","-45.51714104908774","-302.0342820981755","211","-7.617476991405212","-226.23495398281042","211"
"107","-408.00984598134335","-1029.0196919626867","213","-367.64585757452505","-948.2917151490501","213","39.758827871201305","-133.4823442575974","213","48.86772586059067","-115.26454827881867","213","-18.292512615560625","-249.58502523112125","213"
"108","-52.409854343475615","-319.81970868695123","215","-189.90914025111942","-594.8182805022388","215","46.20273073761532","-122.59453852476936","215","82.83090203909012","-49.33819592181977","215","-97.57753826207463","-410.15507652414925","215"
"109","-66.55486032744531","-350.1097206548906","217","-375.1376419360339","-967.2752838720678","217","77.6815068521401","-61.636986295719794","217","-17.06929684672305","-251.1385936934461","217","-71.06125594171911","-359.1225118834382","217"
"110","-4.467401300664619","-227.93480260132924","219","-157.75385427334476","-534.5077085466895","219","-35.33193265911916","-289.6638653182383","219","55.932058409072226","-107.13588318185555","219","-110.16432027098384","-439.3286405419677","219"
"111","54.247715332735964","-112.50456933452807","221","-403.87392087598744","-1028.7478417519749","221","85.9953017678202","-49.00939646435962","221","19.755028326681227","-181.48994334663755","221","-73.5477846456204","-368.0955692912408","221"
"112","-11.284718943227787","-245.56943788645557","223","-291.03569277432854","-805.0713855486571","223","25.92447324526904","-171.15105350946192","223","86.09109923031863","-50.817801539362726","223","-165.2651467984142","-553.5302935968284","223"
"113","-68.17475305986002","-361.34950611972005","225","58.944206276141095","-107.11158744771781","225","47.43625601394936","-130.12748797210128","225","51.66900368712974","-121.66199262574052","225","-47.929722369370154","-320.8594447387403","225"
"114","-199.62002337755519","-626.2400467551104","227","-15.000015265718332","-257.00003053143666","227","65.40401764391981","-96.19196471216036","227","-19.212817476133125","-265.42563495226625","227","-161.35524245154284","-549.7104849030857","227"
"115","5.202945508142108","-218.59410898371578","229","-214.19328503976112","-657.3865700795222","229","77.22855429125937","-74.54289141748127","229","-2.983555877355414","-234.96711175471083","229","-145.1120786156393","-519.2241572312786","229"
"116","-78.3179442754186","-387.6358885508372","231","-346.48137326250963","-923.9627465250193","231","70.20367593234715","-90.59264813530568","231","48.89141509611741","-133.21716980776517","231","-53.973299498906755","-338.9465989978135","231"
"117","-133.32730285142586","-499.6546057028517","233","79.41700037033375","-74.1659992593325","233","38.53339690624773","-155.93320618750454","233","8.493837574429392","-216.01232485114122","233","-77.88167470694515","-388.7633494138903","233"
"118","38.24645328815342","-158.50709342369316","235","-57.748567273597786","-350.49713454719557","235","82.34261539086879","-70.31476921826243","235","-27.428181941318115","-289.85636388263623","235","-56.883695022845245","-348.7673900456905","235"
"119","31.723416116395","-173.55316776721","237","-22.241873415588657","-281.4837468311773","237","58.92960745726611","-119.14078508546778","237","88.26359997711542","-60.47280004576916","237","-134.66027959870976","-506.3205591974195","237"
"120","-259.34955991240463","-757.6991198248093","239","-184.79258774947027","-608.5851754989405","239","-39.228162337185495","-317.456324674371","239","81.97182438014453","-75.05635123971095","239","-157.77328733500138","-554.5465746700028","239"
"121","-28.11350231768938","-297.22700463537876","241","-81.87353004180346","-404.7470600836069","241","62.20943573524774","-116.58112852950453","241","79.5505266971148","-81.89894660577038","241","61.73694811952721","-117.52610376094557","241"
"122","-728.1773544431284","-1699.3547088862567","243","-96.00813465631808","-435.01626931263615","243","-100.66530229585638","-444.33060459171276","243","110.37179980914928","-22.256400381701425","243","52.933571257658826","-137.13285748468235","243"
"123","-1044.5093506079565","-2334.018701215913","245","-465.7574259313616","-1176.5148518627232","245","-60.32728537363417","-365.65457074726834","245","116.89897537841256","-11.202049243174896","245","70.26252083522081","-104.47495832955839","245"
"124","22.29118141914506","-202.41763716170988","247","-378.1448189625886","-1003.2896379251772","247","116.83559105454889","-13.32881789090223","247","55.58329766257593","-135.83340467484814","247","-4.061985041009024","-255.12397008201805","247"
"125","-27.03514512389569","-303.0702902477914","249","-687.5144115838887","-1624.0288231677773","249","60.64545807741143","-127.70908384517713","249","88.5605804625522","-71.87883907489561","249","-50.113203560077636","-349.2264071201553","249"
"126","65.91802834660531","-119.16394330678938","251","-1461.9407505094366","-3174.881501018873","251","82.38068445308554","-86.23863109382893","251","59.91167340977995","-131.1766531804401","251","44.97438393165956","-161.05123213668088","251"
"127","-114.24553247994797","-481.49106495989594","253","-896.2920382746603","-2045.5840765493206","253","100.91815298418764","-51.16369403162472","253","-5.43636568399009","-263.8727313679802","253","61.554318568786925","-129.89136286242615","253"
"128","89.65294682744579","-75.69410634510844","255","-811.2372115578282","-1877.4744231156565","255","-46.372280001447166","-347.74456000289433","255","120.13856383832923","-14.72287232334153","255","50.41064805109514","-154.17870389780973","255"
"129","115.4518335863461","-26.096332827307798","257","-716.6412662926251","-1690.2825325852502","257","63.035375548503296","-130.9292489029934","257","90.2404962277742","-76.5190075444516","257","103.23623698508283","-50.527526029834334","257"
"130","29.425278411344962","-200.14944317731008","259","-992.2009656976247","-2243.4019313952494","259","-2.213289663258905","-263.4265793265178","259","30.427629807660878","-198.14474038467824","259","-105.32666191389697","-469.65332382779394","259"
"131","98.51659762624045","-63.966804747519085","261","-262.68201589867084","-786.3640317973417","261","-216.6957788650268","-694.3915577300536","261","52.51871850731787","-155.96256298536426","261","-23.287682910075148","-307.5753658201503","261"
